ID,英文名稱,中文名稱,圖片,生歿年,國籍,專長,備註,更新日期
3251950,"Jeremias, Otakar","耶利米阿希,奥塔卡",,1892-1962,捷克,作曲,nan,2017-08-08
3251951,"Jerger, Alfred",耶尔格,,1889-1976,奥地利,声乐,男中音,2017-08-08
3251952,"Jeritza, Maria",耶莉查,,1887-1982,捷克,声乐,女高音,2017-08-08
3251953,"Jewell, Fred",朱沃,,1875-1936,美国,作曲,nan,2017-08-08
3251954,"Jimenez, Miguel Bernal",希梅内斯,,1910-1956,墨西哥,作曲,nan,2017-08-08
3251955,"Jirak, Karel",易拉克,,1891-1972,捷克,作曲；指挥,nan,2017-08-08
3251956,"Jirovec, Adalbert (Vojtech)",易罗维克,,1763-1850,捷克,作曲,nan,2017-08-08
3251957,"Joachim, Joseph",姚阿幸,,1831-1907,匈牙利,小提琴；作曲,nan,2017-08-08
3251958,"Job, Lynn",贾伯,,1959-,美国,作曲,nan,2017-08-08
3251959,"Jochum, Eugen",约胡姆,,1902-1987,德国,指挥,nan,2017-08-08
3251960,"Joel, William",裘尔,,1954-,美国,作曲,nan,2017-08-08
3251961,"Johannesen, Grant",约翰尼森,,1921-2005,美国,钢琴,nan,2017-08-08
3251962,"Johansen, David Monrad",约翰森,,1888-1974,挪威,作曲；乐评,nan,2017-08-08
3251963,"Johansson, Bengt",约翰颂,,1914-1989,芬兰,作曲；指挥,nan,2017-08-08
3251964,"Johnson, Ben","詹森,班",,1926-,美国,作曲,nan,2017-08-08
3251965,"Johnson, Edward","詹森,爱德华",,1572-1601,英国,作曲,nan,2017-08-08
3251966,"Johnson, Graham","詹森,葛瑞姆",,1950-,英国,钢琴,20121201修正,2017-08-08
3251967,"Johnson, Hall (Francis)","詹森,霍尔",,1887-1970,美国,作曲,nan,2017-08-08
3251968,"Johnson, Hunter","詹森,亨特",,1906-1998,美国,作曲,nan,2017-08-08
3251969,"Johnson, Robert Sherlaw","詹森,罗伯特",,1932-,英国,作曲；钢琴,nan,2017-08-08
3251970,"Johnson, Scott","詹森,史考特",,1952-,美国,作曲,nan,2017-08-08
3251971,"Johnson, Tom","詹森,汤姆",,1939-,美国,作曲,nan,2017-08-08
3251972,"Johnstone, Maurice",詹斯东,,1900-1976,英国,作曲；指挥,nan,2017-08-08
3251973,"Jolivet, André",若利维,,1905-1974,法国,作曲,nan,2017-08-08
3251974,"Jommelli, Nicoló",姚梅利,,1714-1774,义大利,作曲,nan,2017-08-08
3251975,"Jonas, Alberto",霍纳斯,,1868-1943,美国,钢琴；作曲,西裔,2017-08-08
3251976,"Jones, Charles","琼斯,查理",,1910-1997 ,美国,作曲,加裔,2018-03-22
3251977,"Jones, Daniel","琼斯,丹尼尔",,1912-1993,英国,作曲,nan,2018-03-22
3251978,"Jones, Evlyn Howard","琼斯,伊弗林",,1877-1951,英国,钢琴,nan,2018-03-22
3251979,"Jones, Geraint","琼斯,吉伦特",,1917-1998,英国,管风琴；指挥,nan,2018-03-22
3251980,"Jones, Gwyneth","琼斯,桂娜丝",,1936-,英国,声乐,女高音,2018-03-22
3251981,"Jones, Parry","琼斯,培利",,1891-1963,英国,声乐,男高音,2018-03-22
3251982,"Jones, Robert","琼斯,罗伯特",,1570-1615,英国,作曲；鲁特琴,nan,2018-03-22
3251983,"Jones, Sidney","琼斯,西德尼",,1861-1946,英国,作曲,nan,2018-03-22
3251984,"Jong, Edward de",戎格,,1838-1921,荷兰,长笛；指挥,nan,2017-08-08
3251985,"Jong, Marinus de",杨格,,1891-1984,荷兰,作曲,nan,2017-08-08
3251986,"Jongen, Joseph","容根,约瑟夫",,1873-1953,比利时,作曲,nan,2018-03-22
3251987,"Jongen, Leon","容根,雷昂",,1884-1969,比利时,作曲；钢琴,nan,2018-03-22
3251988,"Jonsson, Josef","詹颂,约瑟夫",,1887-1969,瑞典,作曲,nan,2017-08-08
3251989,"Jönsson, Reine","詹颂,莱纳",,1960-,瑞典,作曲,nan,2017-08-08
3251990,"Joplin, Scott",乔普林,,1868-1917,英国,作曲,nan,2017-08-08
3251991,"Jordá, Enrique",霍尔达,,1911-1996,美国,指挥,西裔,2018-03-22
3251992,"Jordan, Jules","乔丹,朱列斯",,1850-1927,美国,合唱指挥；作曲,nan,2017-08-08
3251993,"Jordan, Sverre","乔丹,斯维雷",,1889-1972,挪威,作曲,nan,2017-08-08
3251994,"Joseffy, Refael",姚瑟菲,,1852-1915,匈牙利,钢琴,nan,2017-08-08
3251995,"Josephs, Wilfred",乔瑟夫斯,,1927-1997,英国,作曲,nan,2017-08-08
3251996,"Josquin des Prés (Desprez, Josquin)",约斯坎(德普瑞),,1440-1521,法国,作曲,nan,2017-08-08
3251997,"Josten, Werner",姚斯顿,,1885-1963,美国,作曲；指挥,德裔,2017-08-08
3251998,"Joubert, John",朱伯特,,1927-1996,南非,作曲,nan,2018-03-22
3251999,"Journeau, Maurice",朱诺,,1898-1999,法国,作曲,nan,2017-08-08
3252000,"Journet, Marcel",朱内,,1870-1933,法国,声乐,男低音,2017-08-08
3252001,"Joyce, Eileen",乔伊丝,,1912-1991,澳大利亚,钢琴,nan,2017-08-08
3252002,"Juarez, Manuel",华雷斯,,1937-,阿根廷,作曲,nan,2017-08-08
3252003,"Judd, Terence",贾德,,1957-1979,英国,钢琴,nan,2017-08-08
3252004,"Julià Satorra, Roger",胡利亚撒多拉,,1981-,西班牙,作曲,nan,2017-08-08
3252005,"Jullien(julien), Louis",于连,,1812-1860,法国,指挥；作曲,nan,2017-08-08
3252006,"Juon, Paul",尤昂,,1872-1940,俄国,作曲,nan,2017-08-08
3252007,"Jurinac, Sena",尤莉娜兹,,1921-2011,南斯拉夫,声乐,女高音,2017-08-08
3252008,"Kabalevsky, Dimitry",卡巴列夫斯基,,1904-1987,俄国,作曲,nan,2017-08-08
3252009,"Kabeláč, Miloslav",卡贝拉奇,,1908-1979,捷克,作曲,nan,2018-03-22
3252010,"Kacso, Diana",卡琪索,,1953-,巴西,钢琴,nan,2017-08-08
3252011,"Kadosa, Pál",卡朵沙,,1903-1983,匈牙利,作曲；钢琴,nan,2017-08-08
3252012,"Kaefer, John F.",凯佛,,1976-,美国,作曲,nan,2017-08-08
3252013,"Kagel, Mauricio",卡赫尔,,1931-,阿根廷,作曲,nan,2017-08-08
3252014,"Kahn, Erich Itor",康,,1905-1956,德国,作曲,nan,2017-08-08
3252015,"Kai, Sesshu",甲斐说宗,,1938-1978,日本,作曲,nan,2017-08-08
3252016,"Kajanus, Robert",卡亚努斯,,1856-1933,芬兰,指挥；作曲,nan,2018-03-22
3252017,"Kako, Takashi",加古隆,,1947-,日本,作曲,nan,2017-08-08
3252018,"Kalabis, Viktor",卡拉毕斯,,1923-2006,捷克,作曲,nan,2017-08-08
3252019,"Kalichststein, Joseph",卡利希斯坦,,1946-,以色列,钢琴,nan,2017-08-08
3252020,"Kalinnikov(ff), Vasily",卡林尼科夫,,1866-1901,俄国,作曲,nan,2017-08-08
3252021,"Kalkbrenner, Christian","卡尔克布伦纳,克里斯蒂安",,1755-1806,德国,作曲,nan,2018-03-22
3252022,"Kalkbrenner, Frederich","卡尔克布伦纳,弗里德里希",,1785-1849,法国,钢琴；作曲,德裔,2018-03-22
3252023,"Kalliwoda, Johan Wenzel",卡利沃达,,1801-1866,捷克,小提琴；作曲,nan,2018-03-22
3252024,"Kallstenius, Edvin",卡尔斯特纽斯,,1881-1967,瑞典,作曲,nan,2017-08-08
3252025,"Kalman, Emmerich",卡尔曼,,1882-1953,匈牙利,作曲,nan,2017-08-08
3252026,"Kalomiris, Manolis",卡洛米瑞斯,,1883-1962,希腊,作曲,nan,2017-08-08
3252027,"Kaminski, Heinrich","卡明斯基,海因利希",,1886-1946,德国,作曲,nan,2017-08-08
3252028,"Kaminski, Joseph","卡明斯基,约瑟夫",,1903-1972,以色列,小提琴；作曲,nan,2017-08-08
3252029,"Kamu, Okko",卡穆,,1946-,芬兰,指挥,nan,2017-08-08
3252030,"Kancheli, Giya",坎切利,,1935-,乔治亚,作曲,nan,2018-03-22
3252031,"Kanding, Ejnar",康丁,,1965-,丹麦,作曲,nan,2018-03-22
3252032,"Kapell, William",卡佩尔,,1922-1953,美国,钢琴,nan,2018-03-22
3252033,"Kapr, Jan",卡普尔,,1914-1988,捷克,作曲；钢琴,nan,2017-08-08
3252034,"Kapral, Vaclav",卡普拉,,1889-1947,捷克,作曲,nan,2017-08-08
3252035,"Kapralova, Vitezslava",卡普拉洛娃,,1915-1940,捷克,作曲,nan,2017-08-08
3252036,"Karajan, Herbert von",卡拉扬,,1908-1989,奥地利,指挥,nan,2017-08-08
3252037,"Karamanov, Alemdar",卡拉玛诺夫,,1934-2007,俄国,作曲,nan,2017-08-08
3252038,"Karayev, Faradj",卡拉耶夫,,1943-,亚塞拜然,作曲,nan,2017-08-08
3252039,"Karel, Rudolf",卡雷尔,,1880-1945,捷克,作曲,nan,2017-08-08
3252040,"Karg-Elert, Sigfrid",卡尔格－艾勒特,,1877-1933,德国,作曲；音乐理论,nan,2017-08-08
3252041,"Karkoff, Maurice",卡尔科夫,,1927-2013,瑞典,作曲,nan,2017-08-08
3252042,"Karlovich, Nikolay",卡洛维契,,1880-1951,俄国,作曲,nan,2017-08-08
3252043,"Karlowic, Mieczyslaw",卡洛维兹,,1876-1909,波兰,作曲,nan,2017-08-08
3252044,"Kasassoglou, Georgios",卡撒梭格罗,,1908-1984,希腊,作曲,nan,2017-08-08
3252045,"Kash, Eugeni",凯希,,1912-,加拿大,小提琴；作曲,nan,2017-08-08
3252046,"Kassern, Tadeusz",卡瑟恩,,1904-1957,波兰,作曲,nan,2017-08-08
3252047,"Kastalsky, Alexander",卡斯塔斯基,,1856-1926,俄国,作曲,nan,2017-08-08
3252048,"Kastner, Jean George",卡斯特纳,,1810-1867,法国,音乐理论；作曲,nan,2017-08-08
3252049,"Kastning, Kevin",凯斯特宁,,1960-,美国,作曲,nan,2017-08-08
3252050,"Katchen, Julius",卡钦,,1926-1969,美国,钢琴,nan,2017-08-08
3252051,"Katin, Peter",凯廷,,1930-2015,英国,钢琴,nan,2018-05-31
3252052,"Katz, Mȋndru",卡茨,,1925-1978,罗马尼亚,钢琴,nan,2018-05-31
3252053,"Kauder, Hugo",考德,,1888-1972,捷克,作曲,nan,2017-08-08
3252054,"Kaufmann, Georg Friedrich",考夫曼,,1679-1735,德国,作曲,nan,2017-08-08
3252055,"Kaun, Hugo",考恩,,1863-1932,德国,作曲,nan,2017-08-08
3252056,"Kawamoto, Tsunanobu",川本统修,,1953-,日本,作曲；指挥,nan,2017-08-08
3252057,"Kay, Ulysses",凯伊,,1917-1995,美国,作曲,nan,2017-08-08
3252058,"Kayser, Heinrich Ernst","凯瑟,海因利希‧恩斯特",,1815-1888,德国,小提琴；作曲,nan,2017-08-08
3252059,"Kazandiev(Kazandjiev), Vassil",卡赞迪耶夫,,1934-,保加利亚,作曲,nan,2017-08-08
3252060,"Kee, Cornelis","奇,科内里斯",,1900-1997,荷兰,作曲；管风琴,nan,2017-08-08
3252061,"Kee, Piet","奇,皮耶特",,1927-,荷兰,作曲；管风琴,nan,2017-08-08
3252062,"Keeffe, Bernard",奇福,,1925-,英国,指挥,nan,2017-08-08
3252063,"Keel, James Frederick",奇尔,,1871-1954,英国,声乐,男中音,2017-08-08
3252064,"Keene, Christopher",奇恩,,1946-1995,美国,指挥,nan,2017-08-08
3252065,"Keilberth, Joseph",凯尔贝特,,1908-1968,德国,指挥,nan,2017-08-08
3252066,"Keipura, Jan",吉布拉,,1902-1966,波兰,声乐,男高音,2017-08-08
3252067,"Keiser, Reinhard","凯瑟,莱茵哈德",,1674-1739,德国,作曲,nan,2018-03-22
3252068,"Kelder, Henry",凯德,,1973-,荷兰,作曲,nan,2017-08-08
3252069,"Kelemen, Milko",凯勒门,,1924-,克罗埃西亚,作曲,nan,2017-08-08
3252070,"Kéler, Béla","凯勒,贝拉",,1820-1882,匈牙利,作曲；指挥,nan,2017-08-08
3252071,"Kell, Reginald","凯尔,雷吉纳德",,1906-1981,英国,单簧管,nan,2017-08-08
3252072,"Keller, Hans","凯勒,汉斯",,1919-1985,英国,乐评；小提琴,奥裔,2017-08-08
3252073,"Kelley, Edgar Stillman{Stillman-Kelley}",凯利,,1857-1944,美国,作曲；音乐著作,nan,2017-08-08
3252074,"Kellogg, Clara",凯洛格,,1842-1916,美国,声乐,女高音,2017-08-08
3252075,"Kelly, Bryan","凯立,布莱恩",,1934-,英国,作曲,nan,2017-08-08
3252076,"Kelly, Frederick","凯立,弗雷德瑞克",,1881-1916,澳大利亚,作曲；钢琴,nan,2017-08-08
3252077,"Kelly, Michael","凯立,麦可",,1762-1826,爱尔兰,声乐；作曲,男高音,2017-08-08
3252078,"Kelterborn, Rudolph",凯特伯恩,,1931-,瑞士,作曲；指挥,nan,2017-08-08
3252079,"Kemble, Adelaide",肯保,,1814-1879,英国,声乐,女高音,2017-08-08
3252080,"Kemp, Barbara",肯普,,1881-1959,德国,声乐,女高音,2017-08-08
3252081,"Kempe, Rudolf",肯佩,,1910-1976,德国,指挥,nan,2017-08-08
3252082,"Kempen, Paul van",肯朋,,1893-1955,荷兰,指挥；小提琴,nan,2017-08-08
3252083,"Kempff, Wilhelm",肯普夫,,1895-1991,德国,钢琴；作曲,nan,2017-08-08
3252084,"Kennan, Kent Wheeler",肯南,,1913-2003,美国,作曲,nan,2017-08-08
3252085,"Kennan, Nigel","甘迺迪,尼可尔",,1956-,英国,小提琴,nan,2017-08-08
3252086,"Kennedy, Daisy","甘迺迪,戴西",,1893-1981,澳大利亚,小提琴,nan,2017-08-08
3252087,"Kentner, Louis",肯特纳,,1905-1987,英国,钢琴,匈裔,2017-08-08
3252088,"Kerle, Jacobus de",凯尔莱,,1531-1591,荷兰,作曲；管风琴,nan,2017-08-08
3252089,"Kerll, Johann Caspar","凯尔,约翰卡斯帕",,1627-1693,德国,管风琴；作曲,nan,2017-08-08
3252090,"Kern, Adele",凯恩,,1901-1980,德国,声乐,女高音,2017-08-08
3252091,"Kern, Jerome",柯恩,,1885-1945,美国,作曲,nan,2017-08-08
3252092,"Kernis, Aaron Jay",柯尼斯,,1960-,美国,作曲,nan,2017-08-08
3252093,"Kerr, Harrison",柯尔,,1897-1978,美国,作曲,nan,2017-08-08
3252094,"Kerry, Gordon",柯里,,1961-,澳大利亚,作曲,nan,2017-08-08
3252095,"Kerstens, Huub",凯斯坦斯,,1947-1999,荷兰,作曲,nan,2017-08-08
3252096,"Kertesz, Istvan",凯尔泰斯,,1929-1973,德国,指挥,匈裔,2017-08-08
3252097,"Kes, Willem",凯斯,,1856-1934,德国,小提琴；指挥,nan,2017-08-08
3252098,"Ketelbey, Albert",凯特比,,1875-1959,英国,作曲,nan,2017-08-08
3252099,"Ketesz, Istvan",凯尔泰斯,,1929-1973,德国,指挥,匈裔,2017-08-08
3252100,"Ketting, Otto","凯廷,欧托",,1935-2012,荷兰,作曲,nan,2017-08-08
3252101,"Ketting, Piet","凯廷,皮耶特",,1905-1984,荷兰,钢琴；作曲,nan,2017-08-08
3252102,"Keuris, Tristan",柯伊里斯,,1946-1996,荷兰,作曲,nan,2017-08-08
3252103,"Keussler, Gerhard von",柯伊斯勒,,1874-1949,德国,指挥；作曲,nan,2017-08-08
3252104,"Keys, Ivor",奇斯,,1919-1995,英国,音乐著作,nan,2017-08-08
3252105,"Khachaturian, Aram",哈察图量,,1903-1978,俄国,作曲,nan,2017-08-08
3252106,"Khadzhiev, Parashkev",哈杰西耶夫,,1913-1992,保加利亚,作曲,nan,2017-08-08
3252107,"Khandoshkin, Ivan",杭多席金,,1747-1804,俄国,小提琴；作曲,nan,2017-08-08
3252108,"Kharitonov, Dimitri",哈里托诺夫,,1958-,俄国,声乐,男中音,2017-08-08
3252109,"Khessin, Alexander",赫辛,,1869-1955,俄国,指挥；音乐教育,nan,2017-08-08
3252110,"Khodzha-Einatov, Leon",霍札－伊纳托夫,,1904-1954,俄国,作曲,乔治亚裔,2017-08-08
3252111,"Khokhlov, Pavel",霍荷洛夫,,1854-1919,俄国,声乐,男中音,2017-08-08
3252112,"Khrennikov, Tikhon",赫连尼科夫,,1913-2007,俄国,作曲；钢琴,nan,2017-08-08
3252113,"Kibbe, Michael",奇伯,,1945-,美国,作曲,nan,2017-08-08
3252114,"Kiel, Friedrich",基尔,,1821-1885,德国,作曲,nan,2017-08-08
3252115,"Kienzl, Wilhelm",金泽尔,,1857-1941,奥地利,作曲,nan,2017-08-08
3252116,"Kiepura, Jan",吉普拉,,1902-1966,波兰,声乐,男高音,2017-08-08
3252117,"Kievman, Carson",奇夫曼,,1949-,美国,作曲,nan,2017-08-08
3252118,"Kiladze(Keladze), Grigori",奇拉杰,,1902-1962,俄国,作曲,nan,2017-08-08
3252119,"Kiladze, Grigori",齐拉杰,,1903-1962,俄国,作曲,nan,2017-08-08
3252120,"Kilar, Wojciech",奇拉尔,,1932-2013,波兰,作曲,nan,2017-08-08
3252121,"Kilpinen, Yrjö",基尔皮能,,1892-1959,芬兰,作曲,nan,2018-03-22
3252122,"Kilstofte, Mark",奇尔斯托夫特,,1958-,美国,作曲,nan,2017-08-08
3252123,"Kimura, Atsushi",木村淳,,1958-,日本,法国号,nan,2017-08-08
3252124,"Kimura, Toshimitsu",木村俊光,,1943-,日本,声乐；音乐教育,nan,2017-08-08
3252125,"Kindler, Hans",金德勒,,1892-1949,美国,大提琴；指挥,荷裔,2017-08-08
3252126,"Kings, Steven",金斯,,1962-,英国,作曲,nan,2017-08-08
3252127,"Kinkeldey, Otto",金克第,,1878-1966,美国,音乐学,nan,2017-08-08
3252128,"Kinsky, Georg Ludwig",金斯基,,1882-1951,德国,音乐学,nan,2017-08-08
3252129,"Kipnis, Alexander",奇普尼斯,,1891-1978,美国,声乐,俄裔男低音,2017-08-08
3252130,"Kirbye, George",柯拜,,1565-1634,英国,作曲,nan,2017-08-08
3252131,"Kirchner, Leon","柯希纳,雷昂",,1919-2009,美国,作曲；钢琴；指挥,nan,2017-08-08
3252132,"Kirchner, Theodor","柯希纳,狄奥多",,1823-1903,德国,作曲,nan,2017-08-08
3252133,"Kirkby-Lunn, Louise",柯克比－兰恩,,1873-1930,英国,声乐,女高音,2017-08-08
3252134,"Kirkman, Jacob",奇尔克曼,,1710-1972,德国,管风琴；作曲,nan,2017-08-08
3252135,"Kirkpatrick, John","柯克派翠克,约翰",,1905-1991,美国,钢琴,nan,2018-03-22
3252136,"Kirkpatrick, Ralph","柯克派翠克,拉弗",,1911-1984,美国,大键琴；音乐学,nan,2018-03-22
3252137,"Kirnberger, Johann Philipp",奇恩贝格尔,,1721-1783,德国,小提琴,nan,2017-08-08
3252138,"Kirshbaum, Ralph",柯希鲍姆,,1946-,美国,大提琴；指挥,nan,2018-03-22
3252139,"Kishi, Koichi",贵志康一,,1909-1937,日本,作曲,nan,2017-08-08
3252140,"Kistler, Cyrill",奇斯特勒,,1848-1907,德国,作曲,nan,2017-08-08
3252141,"Kitazume, Michio",北爪道夫,,1948-,日本,作曲,nan,2017-08-08
3252142,"Kittel, Bruno",基特尔,,1870-1948,德国,小提琴,nan,2017-08-08
3252143,"Kittel, Johann Christian",奇特尔,,1732-1809,德国,作曲；管风琴,nan,2017-08-08
3252144,"Kittl, Johann Friedrich",奇特,,1806-1868,德国,作曲,nan,2017-08-08
3252145,"Kiyose, Yasuji",清濑保二,,1900-1981,日本,作曲,nan,2017-08-08
3252146,"Kjerulf, Halfdan",谢鲁尔夫,,1815-1868,挪威,作曲,nan,2017-08-08
3252147,"Klafsky, Katharina",克拉芙丝基,,1855-1896,匈牙利,声乐,女高音,2017-08-08
3252148,"Klebe, Giselher",克雷贝,,1925-2009,德国,作曲,nan,2017-08-08
3252149,"Klecki(Kletzki), Paul",克雷次基,,1900-1973,瑞士,指挥；作曲,nan,2017-08-08
3252150,"Kleeberg, Clotilde",克雷伯,,1866-1909,法国,钢琴,nan,2017-08-08
3252151,"Kleiber, Carlos","克莱伯,卡洛斯",,1930-2004,阿根廷,指挥,德裔,2018-03-22
3252152,"Kleiber, Erich","克莱伯,艾利希",,1890-1956,奥地利,指挥,nan,2017-08-08
3252153,"Klein, Gideon",克莱茵,,1919-1945,捷克,作曲,nan,2018-03-22
3252154,"Klemperer, Otto",克伦佩勒,,1885-1973,德国,作曲；指挥,nan,2018-03-22
3252155,"Klenau, Paul von",克雷瑙,,1883-1946,丹麦,作曲；指挥,nan,2017-08-08
3252156,"Klengel, August Alexander","克连格,奥古斯特",,1783-1852,德国,钢琴；作曲,nan,2017-08-08
3252157,"Klengel, Julius","克连格,尤留斯",,1859-1933,德国,大提琴；作曲,nan,2018-03-22
3252158,"Klengel, Paul","克连格,包尔",,1854-1935,德国,指挥；作曲,nan,2017-08-08
3252159,"Klenovsky, Nikolai",克雷诺夫斯基,,1857-1915,俄国,小提琴；作曲,nan,2017-08-08
3252160,"Klerk, Albert de",克雷克,,1917-1998,荷兰,作曲,nan,2017-08-08
3252161,"Kletzki, Paul",克雷茨基,,1900-1973,瑞士,指挥；作曲,波裔,2018-03-22
3252162,"Klien, Walter",克林,,1928-1991,奥地利,钢琴,nan,2017-08-08
3252163,"Klindworth, Karl",克林沃特,,1830-1936,德国,钢琴,nan,2018-03-22
3252164,"Klose, Hyacinthe",克洛瑟,,1808-1880,法国,单簧管,nan,2017-08-08
3252165,"Knaifel, Alexander",克奈弗,,1943-,乌兹别克,作曲,nan,2017-08-08
3252166,"Knappertsbusch, Hans",克纳佩次布许,,1888-1965,德国,指挥,nan,2017-08-08
3252167,"Kneisel, Franz",克奈泽,,1865-1926,德国,小提琴；指挥,nan,2017-08-08
3252168,"Knight, Edward","奈特,爱德华",,1961-,美国,作曲,nan,2017-08-08
3252169,"Knight, Tim","奈特,提姆",,1959-,英国,作曲,nan,2017-08-08
3252170,"Knipper, Lev",克尼佩,,1898-1974,俄国,作曲,nan,2017-08-08
3252171,"Knorr, Iwan",克诺尔,,1853-1916,德国,作曲,nan,2017-08-08
3252172,"Knote, Heinrich",克诺特,,1870-1953,德国,声乐,男高音,2017-08-08
3252173,"Knüpfer, Sebastian",克吕普菲尔,,1633-1676,德国,作曲,nan,2017-08-08
3252174,"Knussen, Oliver",克努森,,1952-,英国,作曲,nan,2017-08-08
3252175,"Kobbe, Gustav",柯毕,,1857-1918,美国,音乐著作,nan,2017-08-08
3252176,"Kobra, Louis",柯布拉,,1967-,美国,作曲,nan,2017-08-08
3252177,"Koc, Marcelo",柯克,,1918-2006,阿根廷,作曲,俄裔,2017-08-08
3252178,"Koch, Erland von",柯赫,,1910-2006,瑞典,作曲,nan,2017-08-08
3252179,"Kochan, Hans Günther",柯汉,,1930-2009,德国,作曲,nan,2017-08-08
3252180,"Köchel, Ludwig von",柯歇尔,,1800-1877,奥地利,音乐目录学,nan,2017-08-08
3252181,"Kocián, Jaroslav",柯齐安,,1883-1950,捷克,小提琴,nan,2018-03-22
3252182,"Kodály, Zoltán",柯大宜,,1882-1967,匈牙利,作曲；民族音乐学；教育,nan,2017-08-08
3252183,"Koechlin, Charles",柯克兰,,1867-1950,法国,作曲,nan,2018-03-22
3252184,"Koellreutter, Hans",柯尔罗伊特,,1915-2000,德国,作曲；指挥,nan,2017-08-08
3252185,"Koetsier, Jan",柯齐尔,,1911-2006,荷兰,指挥；作曲,nan,2017-08-08
3252186,"Koffler, Jozef",柯夫勒,,1896-1943,波兰,作曲,nan,2017-08-08
3252187,"Kogan, Leonid",柯冈,,1924-1982,俄国,小提琴,nan,2017-08-08
3252188,"Kohler, Christian Louis Heinrich",柯勒,,1820-1886,德国,钢琴；作曲,nan,2017-08-08
3252189,"Kohoutek, Ctirad",柯侯泰克,,1929-2011,捷克,作曲,nan,2017-08-08
3252190,"Kohs, Ellis",柯斯,,1916-2000,美国,作曲,nan,2017-08-08
3252191,"Kokkonen, Joonas",柯克能,,1921-1996,芬兰,作曲,nan,2017-08-08
3252192,"Kokoras, Panayiotis",柯可拉斯,,1974-,希腊,作曲,nan,2017-08-08
3252193,"Kolb, Barbara",柯布,,1939-,美国,作曲,nan,2017-08-08
3252194,"Kollo, René",柯洛,,1937-,德国,声乐,男高音,2017-08-08
3252195,"Kolp, Pierre",柯尔普,,1969-,德国,作曲,nan,2017-08-08
3252196,"Koltsov, Philipp",考佐夫,,1962-,俄国,作曲,nan,2017-08-08
3252197,"Komitas, Sogomon",柯米塔斯,,1869-1935,土耳其,作曲,nan,2017-08-08
3252198,"Komzak, Karl",孔札克,,1850-1905,捷克,作曲,nan,2017-08-08
3252199,"Kondracki, Michal",孔德拉兹基,,1902-1984,美国,作曲,俄裔,2017-08-08
3252200,"Kondrashin, Kyrill",孔德拉辛,,1914-1981,俄国,指挥,nan,2017-08-08
3252201,"Konietzny, Heinrich",柯尼兹尼,,1910-1983,德国,作曲,nan,2017-08-08
3252202,"Konink, Sevaas de",柯宁克,,1654-1701,比利时,作曲,nan,2017-08-08
3252203,"Konoe, Hidemaro",近卫秀磨,,1889-1973,日本,作曲,nan,2017-08-08
3252204,"Konwitschny, Franz",孔维奇尼,,1901-1962,德国,指挥,nan,2017-08-08
3252205,"Kopecký, Pavel",柯贝茨基,,1949-,捷克,作曲,nan,2017-08-08
3252206,"Korbay, Francis",柯尔贝,,1846-1913,匈牙利,钢琴；作曲,男高音,2017-08-08
3252207,"Korchinska, Maria",柯钦丝卡,,1895-1979,俄国,竖琴,nan,2017-08-08
3252208,"Korchmaryov, Klimenty",柯其玛辽夫,,1899-1958,俄国,作曲,nan,2017-08-08
3252209,"Koreh, Endre",柯瑞,,1906-1960,匈牙利,声乐,男低音,2017-08-08
3252210,"Korn, Peter Jona",柯恩,,1922-1998,德国,作曲；指挥,nan,2017-08-08
3252211,"Korndorf, Nicolai S.",康朵夫,,1947-2001,俄国,作曲,nan,2017-08-08
3252212,"Korngold, Erich Wolfgang",康戈尔德,,1897-1957,美国,作曲；指挥,奥裔,2018-04-17
3252213,"Koschat, Thomas",柯夏特,,1845-1914,奥地利,声乐,男低音,2017-08-08
3252214,"Kosiewski, Andyzej",柯西夫斯基,,1922-,波兰,作曲；音乐学,nan,2017-08-08
3252215,"Košler, Zdenek",柯希勒,,1928-1995,捷克,指挥,nan,2017-08-08
3252216,"Kossenko, Sergei",卡先科,,1970-,俄国,作曲,nan,2017-08-08
3252217,"Kostelanetz, Andre",柯斯特拉内次,,1901-1980,美国,指挥,俄裔,2017-08-08
3252218,"Kosuge, Yu",小菅优,,1983-,日本,钢琴,nan,2017-08-08
3252219,"Kosugi, Takehisa",小杉武久,,1938-,日本,作曲,nan,2017-08-08
3252220,"Köszeghy, Pèter",柯赛基,,1971-,匈牙利,作曲,nan,2017-08-08
3252221,"Kotzwara, (Koczwara) Franz",柯兹瓦拉,,1730-1790,捷克,小提琴；低音提琴；作曲,nan,2017-08-08
3252222,"Kourtis, Ioannis",库提斯,,1973-,希腊,作曲,nan,2017-08-08
3252223,"Koussevitzky, Sergei",库谢维兹基,,1874-1951,美国,指挥,俄裔,2017-08-08
3252224,"Kovacevich, Stephen",柯瓦采维奇,,1940-,美国,钢琴,nan,2017-08-08
3252225,"Koval, Marian",柯娃尔,,1907-1971,俄国,作曲,nan,2017-08-08
3252226,"Koven, Reginald de",柯文,,1859-1920,美国,作曲,nan,2017-08-08
3252227,"Kowalczyk, Marc",柯瓦捷克,,1973-,法国,作曲,nan,2017-08-08
3252228,"Kowssler, Hans",寇斯勒,,1853-1926,德国,作曲,nan,2017-08-08
3252229,"Kox, Hans",寇克斯,,1930-,荷兰,作曲,nan,2017-08-08
3252230,"Koyama, Kiyoshige",小山清茂,,1914-2009,日本,作曲,nan,2017-08-08
3252231,"Kozeluh, Jan Evangelista Antonin","柯策鲁,安东尼",,1738-1814,捷克,作曲,nan,2017-08-08
