ID,英文名稱,中文名稱,圖片,語言,備註,更新日期
3240697,Groupe des cinq {Fr.},五人组（五人乐派）,,法,nan,2017-08-08
3240698,Groupe des Six {Fr.},六人组,,法,nan,2017-08-08
3240699,growl ( style ),吠声（风格）,,英,nan,2017-08-08
3240700,Grundbass {Ger.},基础低音,,德,nan,2017-08-08
3240701,Grundform {Ger.},原位,,德,nan,2017-08-08
3240702,Grundlage {Ger.},原位,,德,nan,2017-08-08
3240703,Gründonnerstag {Ger.},圣周四,,德,nan,2017-08-08
3240704,Grundstimmen {Ger.},基音音栓,,德,nan,2017-08-08
3240705,Grundtonschritt {Ger.},根音进行,,德,nan,2017-08-08
3240706,gruppetto {It.},回音,,义,nan,2017-08-08
3240707,Gruppo dei cinque {It.},五人组（五人乐派）,,义,nan,2017-08-08
3240708,guajira {Sp.},瓜希拉舞曲,,西,nan,2017-08-08
3240709,guamo {Cu.},螺号,,古巴,nan,2017-08-08
3240710,guaracha {Sp.},瓜拉恰舞曲,,西,nan,2017-08-08
3240711,guaranía {Sp.},瓜拉尼亚音乐,,西,nan,2017-08-08
3240712,guarneri {It.},瓜内里,,义,nan,2017-08-08
3240713,guarracha {Sp.},瓜拉恰舞曲,,西,nan,2017-08-08
3240714,guasa {Sp.},瓜沙舞曲,,西,nan,2017-08-08
3240715,gudok {Russ.},古多克琴,,俄,nan,2017-08-08
3240716,guerre des bouffons {Fr.},喜歌剧之争,,法,nan,2017-08-08
3240717,guest conductor,客席指挥,,英,nan,2017-08-08
3240718,guidon {Fr.},提示记号,,法,nan,2017-08-08
3240719,guidonian hand,桂多手,,英,nan,2017-08-08
3240720,guimbarda {Sp.},金巴达口簧琴,,西,nan,2020-02-17
3240721,guimbarde {Fr.},金巴达口簧琴,,法,nan,2020-02-17
3240722,güiro {Sp.},刮葫；刮罗,,西,nan,2020-02-17
3240723,guitar,吉他,,英,nan,2017-08-08
3240724,guitar,吉他,,英,nan,2017-08-08
3240725,guitare en bateau {Fr.},大吉他,,法,nan,2017-08-08
3240726,guitare {Fr.},吉他,,法,nan,2017-08-08
3240727,guitarra {Sp.},吉他,,西,nan,2017-08-08
3240728,Guitarre Violoncell {Ger.},琶音琴,,德,nan,2017-08-08
3240729,guiterne {Fr.},大鲁特琴；大吉他,,法,nan,2017-08-08
3240730,gusle,古斯列琴,,南斯拉夫,nan,2017-08-08
3240731,gusli {Russ.},古斯里琴,,俄,nan,2017-08-08
3240732,gut guitar,肠弦吉他,,英,nan,2017-08-08
3240733,gut string,肠弦(弦),,英,nan,2017-08-08
3240734,guttural consonants,喉子音,,英,nan,2017-08-08
3240735,guttural voice,喉音,,英,nan,2017-08-08
3240736,gymel,声部分割；平行三度,,英,nan,2017-08-08
3240737,gymnastique {Fr.},节奏教育,,法,nan,2017-08-08
3240738,gypsy music,吉普赛音乐,,英,nan,2017-08-08
3240739,Gyterne,吉坦琴,,英,nan,2017-08-08
3240740,habanera {Sp.},阿巴内拉舞曲；哈瓦那舞曲,,西,nan,2017-08-08
3240741,Hackbrett {Ger.},扬琴,,德,nan,2017-08-08
3240742,haka,哈卡舞,,纽西兰,nan,2017-08-08
3240743,halbe Note {Ger.},二分音符,,德,nan,2017-08-08
3240744,halbe Pause {Ger.},二分休止符,,德,nan,2017-08-08
3240745,Halbinstrument {Ger.},半管乐器,,德,nan,2017-08-08
3240746,Halbprinzipal {Ger.},半长主音栓（管风琴）,,德,nan,2017-08-08
3240747,Halbschluss{Ger.},半终止,,德,nan,2017-08-08
3240748,Halbton {Ger.},半音,,德,nan,2017-08-08
3240749,half cadence,半终止,,英,nan,2017-08-08
3240750,half close,半终止,,英,nan,2017-08-08
3240751,half note rest {Amer.},二分休止符,,美,nan,2017-08-08
3240752,half note {Amer.},二分音符,,美,nan,2017-08-08
3240753,half rest {Amer.},二分休止符,,美,nan,2017-08-08
3240754,half step,半音,,英,nan,2017-08-08
3240755,half tone,半音,,英,nan,2017-08-08
3240756,half tube instrument,半管乐器,,英,nan,2017-08-08
3240757,halil {Heb.},犹太笛,,希伯来,nan,2017-08-08
3240758,hallelujah,哈利路亚,,英,nan,2017-08-08
3240759,Hallelujah chorus,哈利路亚合唱,,英,nan,2017-08-08
3240760,Hallelujah {Her.},阿雷路亚,,希伯来,nan,2017-08-08
3240761,halling {Nor.},哈林舞曲,,挪威,nan,2017-08-08
3240762,Hals {Ger.},琴颈,,德,nan,2017-08-08
3240763,Haltebogen {Ger.},连结线,,德,nan,2017-08-08
3240764,hammer,槌；琴槌,,英,nan,2017-08-08
3240765,hammer stroke,击奏｛弦（弦）乐器｝,,英,nan,2017-08-08
3240766,Hammerflügel {Ger.},平台钢琴,,德,nan,2017-08-08
3240767,Hammerklavier {Ger.},槌击钢琴,,德,nan,2017-08-08
3240768,Hammond organ,汉蒙式电风琴,,英,nan,2017-08-08
3240769,hanacca {Cz.},哈那卡舞曲,,捷,nan,2017-08-08
3240770,Hanakisch {Ger.},哈那卡舞曲,,德,nan,2017-08-08
3240771,Hand casta,手响板,,英,nan,2017-08-08
3240772,hand horn,手号,,英,nan,2017-08-08
3240773,hand organ,手摇管风琴；滚筒管风琴,,英,nan,2017-08-08
3240774,Handbells（英）,手钟,,英,nan,2017-08-08
3240775,Handharmonika {Ger.},手风琴,,德,nan,2017-08-08
3240776,Handschrift {Ger.},手稿,,德,nan,2017-08-08
3240777,hard bop,硬波普｛爵士乐风格｝,,英,nan,2017-08-08
3240778,hard palate,硬口盖,,英,nan,2017-08-08
3240779,Hardanger Fiedel {Ger.},哈丹格提琴,,德,nan,2017-08-08
3240780,hardi {Fr.},大胆的,,法,nan,2017-08-08
3240781,harding fiddle,哈丹格提琴,,英,nan,2017-08-08
3240782,hardingfela {Nor.},哈丹格提琴,,挪威,nan,2017-08-08
3240783,Harfe {Ger.},竖琴,,德,nan,2017-08-08
3240784,Harlekin {Ger.},丑角,,德,nan,2017-08-08
3240785,Harlem jazz,哈林爵士乐,,英,nan,2017-08-08
3240786,harlequin,丑角,,英,nan,2017-08-08
3240787,harmoniai {Gr.},八度规则,,希,nan,2017-08-08
3240788,harmonic analysis,和声分析,,英,nan,2017-08-08
3240789,harmonic bass,合成低音音栓（管风琴）,,英,nan,2017-08-08
3240790,harmonic chromatic scale,和声半音阶,,英,nan,2017-08-08
3240791,harmonic figuration,和弦音型,,英,nan,2017-08-08
3240792,harmonic figure,和声音型,,英,nan,2017-08-08
3240793,harmonic flute,泛音长笛音栓（管风琴）,,英,nan,2017-08-08
3240794,harmonic instrument,和声乐器,,英,nan,2017-08-08
3240795,harmonic interval,和声音程,,英,nan,2017-08-08
3240796,harmonic major scale,和声大音阶,,英,nan,2017-08-08
3240797,harmonic minor scale,和声小音阶,,英,nan,2017-08-08
3240798,harmonic overtone,泛音；倍音,,英,nan,2017-08-08
3240799,harmonic progression,和声进行,,英,nan,2017-08-08
3240800,harmonic rhythm,和声节奏,,英,nan,2017-08-08
3240801,harmonic sequence,和声模进,,英,nan,2017-08-08
3240802,harmonic series,泛音列,,英,nan,2017-08-08
3240803,harmonic tone,和声音,,英,nan,2017-08-08
3240804,harmonic trumpet,泛音小号音栓（管风琴）,,英,nan,2017-08-08
3240805,harmonica,口琴,,英,nan,2017-08-08
3240806,harmonica à bouche {Fr.},口琴,,法,nan,2017-08-08
3240807,harmonica de franklin {Fr.},玻璃琴,,法,nan,2017-08-08
3240808,harmonicon,哈莫尼康琴,,英,nan,2017-08-08
3240809,harmonics,泛音,,英,nan,2017-08-08
3240810,Harmonie de la dominante {Fr.},属和声,,法,nan,2017-08-08
3240811,harmonie de la sous dominante {Fr.},下属和弦,,法,nan,2017-08-08
3240812,harmonie de la tonique {Fr.},主和声,,法,nan,2017-08-08
3240813,harmonie fonctionelle {Fr.},功能和声,,法,nan,2017-08-08
3240814,harmonie {Fr.},和声；和声学；管乐合奏｛管乐部份｝,,法,nan,2017-08-08
3240815,Harmonie {Ger.},和声；和声学；管乐合奏｛管乐部份｝,,德,nan,2017-08-08
3240816,"harmonie, cord' {Fr.}",手号,,法,nan,2017-08-08
3240817,harmonieeigener Ton {Ger.},和声音；和弦音,,德,nan,2017-08-08
3240818,Harmoniefremder Ton {Ger.},和声外音；非和弦（弦）音,,德,nan,2017-08-08
3240819,Harmonielehre {Ger.},和声学,,德,nan,2017-08-08
3240820,Harmoniemusik {Ger.},管乐音乐,,德,nan,2017-08-08
3240821,Harmonik {Ger.},和声法,,德,nan,2017-08-08
3240822,Harmonikon {Ger.},哈莫尼康琴,,德,nan,2017-08-08
3240823,harmoniques supérieures {Fr.},泛音,,法,nan,2017-08-08
3240824,Harmonische Durtonleiter {Ger.},和声大音阶,,德,nan,2017-08-08
3240825,harmonische Figurierung {Ger.},和弦音型,,德,nan,2017-08-08
3240826,Harmonische Molltonleiter {Ger.},和声小音阶,,德,nan,2017-08-08
3240827,harmonische Sequenz {Ger.},和声模进,,德,nan,2017-08-08
3240828,harmonischer Dualismus {Ger.},和声二元论,,德,nan,2017-08-08
3240829,harmonischer Oberton {Ger.},泛音,,德,nan,2017-08-08
3240830,harmonisches Intervall {Ger.},和声音程,,德,nan,2017-08-08
3240831,harmonium,簧风琴,,英,nan,2017-08-08
3240832,harmonizing of melody,曲调和声法,,英,nan,2017-08-08
3240833,harmony,和声；和声学,,英,nan,2017-08-08
3240834,harmony of the spheres,天体和声,,英,nan,2017-08-08
3240835,harp,竖琴,,英,nan,2017-08-08
3240836,harp éolienne {Fr.},风鸣琴,,法,nan,2017-08-08
3240837,harp guitar,竖琴吉他,,英,nan,2017-08-08
3240838,harp lute,鲁特竖琴,,英,nan,2017-08-08
3240839,harp stop,音栓｛管风琴；大键琴｝,,英,nan,2017-08-08
3240840,harpe d'Eole {Fr.},风鸣琴,,法,nan,2017-08-08
3240841,harpe luth {Fr.},鲁特竖琴,,法,nan,2017-08-08
3240842,harpe {Fr.},竖琴,,法,nan,2017-08-08
3240843,harpo lyre {Fr.},阿尔波里尔琴,,法,nan,2017-08-08
3240844,harpsichord,大键琴,,英,nan,2017-08-08
3240845,harte Gaumen {Ger.},硬口盖,,德,nan,2017-08-08
3240846,hartverminderter Dreiklang {Ger.},硬减三和弦,,德,nan,2017-08-08
3240847,Hasosra {Heb.},哈梭斯拉号,,希伯来,nan,2017-08-08
3240848,haubois baryton {Fr.},上低音双簧管,,法,nan,2017-08-08
3240849,haubois {Fr.},双簧管,,法,nan,2017-08-08
3240850,Hauptdreikänge {Ger.},主三和弦,,德,nan,2017-08-08
3240851,Hauptharmonie {Ger.},基本和声,,德,nan,2017-08-08
3240852,Hauptprobe {Ger.},整装彩排,,德,nan,2017-08-08
3240853,Hauptsatz {Ger.},主要乐节,,德,nan,2017-08-08
3240854,Hauptstimme{Ger.},主声部,,德,nan,2017-08-08
3240855,Hauptthema {Ger.},主要主题,,德,nan,2017-08-08
3240856,Hauptton {Ger.},主要音,,德,nan,2017-08-08
3240857,Haupttonart {Ger.},主调,,德,nan,2017-08-08
3240858,Hauptwerk {Ger.},主要管群｛管风琴｝,,德,nan,2017-08-08
3240859,haut {Fr.},高的｛声音或音量｝,,法,nan,2017-08-08
3240860,hautbois d'amour {Fr.},柔音双簧管,,法,nan,2017-08-08
3240861,hautbois de chasse {Fr.},狩猎双簧管,,法,nan,2017-08-08
3240862,hautbois {Fr.},双簧管,,法,nan,2017-08-08
3240863,hautboy,双簧管,,英,nan,2017-08-08
3240864,hauteur absolue {Fr.},绝对音高,,法,nan,2017-08-08
3240865,hauteur de son {Fr.},音高,,法,nan,2017-08-08
3240866,Hawaiian guitar,夏威夷吉他,,英,nan,2017-08-08
3240867,hbilité musicale {Fr.},音乐能力,,法,nan,2017-08-08
3240868,head,符头,,英,nan,2017-08-08
3240869,head arrange(arrangement),口头编曲,,英,nan,2017-08-08
3240870,head register,头声区,,英,nan,2017-08-08
3240871,head resonance,头腔共鸣,,英,nan,2017-08-08
3240872,head tone,头声,,英,nan,2017-08-08
3240873,head voice,头声；主唱,,nan,nan,2017-08-08
3240874,head voice resonance,头腔共鸣,,英,nan,2017-08-08
3240875,hearing,听觉,,英,nan,2017-08-08
3240876,hearing organ,听觉器官,,英,nan,2017-08-08
3240877,heavy metal,重金属｛音乐｝,,英,nan,2017-08-08
3240878,Hebdomada sancta {Lat.},圣周,,拉,nan,2017-08-08
3240879,Heckelclarina,黑克尔单簧管,,英,nan,2017-08-08
3240880,heckelphone,黑克尔双簧管,,英,nan,2017-08-08
3240881,heel,弓根；弦枕,,英,nan,2017-08-08
3240882,heftig {Ger.},粗暴的；鲁莽的,,德,nan,2017-08-08
3240883,Heimlich {Ger.},沉默的；隐密的,,德,nan,2017-08-08
3240884,held part,持续音,,英,nan,2017-08-08
3240885,Heldenbariton {Ger.},英雄男中音,,德,nan,2017-08-08
3240886,Heldentenor {Ger.},英雄男高音,,德,nan,2017-08-08
3240887,helicon,赫利孔低音号；赫利孔音栓,,英,nan,2017-08-08
3240888,Hellflöte {Ger.},嘹亮哨笛音栓（管风琴）,,德,nan,2017-08-08
3240889,Helmholtz resonator,亥姆霍兹共鸣器,,英,nan,2017-08-08
3240890,Helmholtzscher Resonator {Ger.},亥姆霍兹共鸣器,,德,nan,2017-08-08
3240891,hemidemisemiquaver,六十四分音符,,英,nan,2017-08-08
3240892,hemidemisemiquaver rest,六十四分休止符,,英,nan,2017-08-08
3240893,hemiola {Gr.},三比二,,希,nan,2017-08-08
3240894,hemiolia {Gr.},三比二,,希,nan,2017-08-08
3240895,hemitone,半音,,英,nan,2017-08-08
3240896,hemitonium {Lat.},半音,,拉,nan,2017-08-08
3240897,heptachord,七声音阶,,英,nan,2017-08-08
3240898,heptachorde {Fr.},七弦古大提琴,,法,nan,2017-08-08
3240899,heptatonic,七声音阶；七声调式,,英,nan,2017-08-08
3240900,heptatonic scale,七声音阶,,英,nan,2017-08-08
3240901,Heptatonik {Ger.},七声音阶,,德,nan,2017-08-08
3240902,heptatonique {Fr.},七声音阶,,法,nan,2017-08-08
3240903,Heptatonisch {Ger.},七声音阶,,德,nan,2017-08-08
3240904,heptatonische Tonleiter {Ger.},七声音阶,,德,nan,2017-08-08
3240905,Herabstrich {Ger.},下弓,,德,nan,2017-08-08
3240906,heroic tenor,英雄男高音,,英,nan,2017-08-08
3240907,Hertz {Ger.},赫；赫兹,,德,nan,2017-08-08
3240908,Herunterstrich {Ger.},下弓,,德,nan,2017-08-08
3240909,Herzhaft {Ger.},大胆的；勇敢的,,德,nan,2017-08-08
3240910,Herzig {Ger.},深情的,,德,nan,2017-08-08
3240911,Heses {Ger.},重降Ｂ,,德,nan,2017-08-08
3240912,hetero- {Gr.},不同,,希,nan,2017-08-08
3240913,heterochord,异体弦,,英,nan,2017-08-08
3240914,heteroglot,异体簧,,英,nan,2017-08-08
3240915,heterometer,异拍子,,英,nan,2017-08-08
3240916,heterophony,异音音乐；支音音乐,,英,nan,2017-08-08
3240917,hexachord,六音组；六音音阶,,英,nan,2017-08-08
3240918,Hexachord {Ger.},六音组；六音音阶,,德,nan,2017-08-08
3240919,hexachorde {Fr.},六音组；六音音阶,,法,nan,2017-08-08
3240920,hexatonic,六声音阶；六声调式,,英,nan,2017-08-08
3240921,hi hat cymbals,帽钹,,英,nan,2017-08-08
3240922,hidden consecutives,隐伏连续,,英,nan,2017-08-08
3240923,hidden fifths,隐伏五度,,英,nan,2017-08-08
3240924,hidden octaves,隐伏八度,,英,nan,2017-08-08
3240925,hidden unisons,隐伏同度,,英,nan,2017-08-08
3240926,High baritone,高男中音,,英,nan,2017-08-08
3240927,high clarinet,小单簧管,,英,nan,2017-08-08
3240928,high frequency,高频率,,英,nan,2017-08-08
3240929,High Mass,庄严弥撒,,英,nan,2017-08-08
3240930,Hilfslinie {Ger.},加线,,德,nan,2017-08-08
3240931,hillbilly {Amer.},山区音乐,,美,nan,2017-08-08
3240932,Hinstrich（德）,上弓,,德,nan,2017-08-08
3240933,Hintersatz {Ger.},后乐节,,德,nan,2017-08-08
3240934,Hinzugefügte Sexte {Ger.},加六和弦,,德,nan,2017-08-08
3240935,His {Ger.},升Ｂ,,德,nan,2017-08-08
3240936,histoire de la musique {Fr.},音乐史,,法,nan,2017-08-08
3240937,history of music,音乐史,,英,nan,2017-08-08
3240938,hitschiriki,日本筚篥,,英,nan,2017-08-08
3240939,hityokin,一节切（日本乐器）,,英,nan,2017-08-08
3240940,Hob,海顿作品编号,,德,nan,2017-08-08
3240941,Hoboe {Ger.},双簧管,,德,nan,2017-08-08
3240942,Hoboken,海顿作品编号,,德,nan,2017-08-08
3240943,Hobusi,火不思琴,,蒙,nan,2017-08-08
3240944,Hochamt {Ger.},庄严弥撒,,德,nan,2017-08-08
3240945,hochet {Fr.},嘎嘎器；摇响器,,法,nan,2017-08-08
3240946,Hochfrequenz {Ger.},高频率,,德,nan,2017-08-08
3240947,Hochzeitmarsch {Ger.},结婚进行曲,,德,nan,2017-08-08
3240948,hocket,断续歌,,英,nan,2017-08-08
3240949,Hocketus {Lat.},断续歌,,拉,nan,2017-08-08
3240950,hocquet {Fr.},断续歌,,法,nan,2017-08-08
3240951,Hofkapelle {Ger.},宫廷教堂,,德,nan,2017-08-08
3240952,Hofmusik {Ger.},宫廷音乐,,德,nan,2017-08-08
3240953,Hofoper {Ger.},宫廷歌剧院,,德,nan,2017-08-08
3240954,Hoftanz {Ger.},宫廷舞曲,,德,nan,2017-08-08
3240955,hoketus {Lat.},断续歌,,拉,nan,2017-08-08
3240956,hold,停留记号，延长记号；延长音,,英,nan,2017-08-08
3240957,Holy Saturday,圣周六,,英,nan,2017-08-08
3240958,holy week,圣周,,英,nan,2017-08-08
3240959,Holzblasinstrumente {Ger.},木管乐器,,德,nan,2017-08-08
3240960,Holzblock {Ger.},木鱼,,德,nan,2017-08-08
3240961,Holzharmonika {Ger.},木琴,,德,nan,2017-08-08
3240962,Holztrompete {Ger.},木号,,德,nan,2017-08-08
3240963,Hommel {Ger.},霍梅尔琴,,德,nan,2017-08-08
3240964,homophonic music,主曲调音乐；主旋律音乐,,英,nan,2017-08-08
3240965,Homophonie {Fr.},主曲调音乐；主旋律音乐,,法,nan,2017-08-08
3240966,Homophonie {Ger.},主曲调音乐；主旋律音乐,,德,nan,2017-08-08
3240967,homophony,主曲调音乐；主旋律音乐,,英,nan,2017-08-08
3240968,homorhythm,等节奏；同节奏,,英,nan,2017-08-08
3240969,homorhythmic,同节奏；等节奏,,英,nan,2017-08-08
3240970,Homorhythmik {Ger.},等节奏；同节奏,,德,nan,2017-08-08
3240971,homorythmie {Fr.},等节奏；同节奏,,法,nan,2017-08-08
3240972,hook,符尾,,英,nan,2017-08-08
3240973,hopak,戈帕克舞曲,,乌克兰,nan,2017-08-08
3240974,hopak gopak,戈帕克舞曲,,乌克兰,nan,2017-08-08
3240975,hopak {Russ.},戈帕克舞曲,,俄,nan,2017-08-08
3240976,hoquet {Fr.},断续歌,,法,nan,2017-08-08
3240977,hoquetio {Lat.},断续歌,,拉,nan,2017-08-08
3240978,hoquetus {Lat.},断续歌,,拉,nan,2017-08-08
3240979,Horǎ,霍拉舞曲,,罗马尼亚,nan,2017-08-08
3240980,Horǎ lungǎ,霍拉伦卡,,罗马尼亚,nan,2017-08-08
3240981,Horae {Lat.},日课,,拉,nan,2017-08-08
3240982,Hörbarkeitsgrenzen {Ger.},听觉极限,,德,nan,2017-08-08
3240983,Hören {Ger.},听,,德,nan,2017-08-08
3240984,Hörfeld {Ger.},听域,,德,nan,2017-08-08
3240985,Hörgrenzen {Ger.},听觉极限,,德,nan,2017-08-08
3240986,Hörmessung {Ger.},听力检查,,德,nan,2017-08-08
3240987,horn family,圆号家族,,英,nan,2017-08-08
3240988,horn fifths,号五度｛自然号隐伏五度｝,,英,nan,2017-08-08
3240989,Horn {Ger.},号角，圆号；号角音栓｛管风琴｝,,英˙德,nan,2017-08-08
3240990,hornpipe,号管；号管舞曲,,英,nan,2017-08-08
3240991,Hornquinten {Ger.},号五度｛自然号隐伏五度｝,,德,nan,2017-08-08
3240992,Hornwerk {Ger.},报时号,,德,nan,2017-08-08
3240993,horologium {Lat.},车铃,,拉,nan,2017-08-08
3240994,hot Jazz,热爵士乐,,英,nan,2017-08-08
3240995,HP,快速录放,,英,nan,2017-08-08
3240996,huaiño {Sp.},乌艾纽舞曲,,西,nan,2017-08-08
3240997,huapango {Sp.},瓦邦戈舞曲,,西,nan,2017-08-08
3240998,Huayra-puhur {Sp.},乌艾拉-普吾尔箫,,西,nan,2017-08-08
3240999,huchet {Fr.},猎号｛小号角｝,,法,nan,2017-08-08
3241000,Hügel {Ger.},钢琴,,德,nan,2017-08-08
3241001,huitième De soupir {Fr.},三十二分音符,,法,nan,2017-08-08
3241002,humanist music,人文主义音乐,,英,nan,2017-08-08
3241003,humming,哼唱；闭口唱,,英,nan,2017-08-08
3241004,Humoreske {Ger.},幽默曲,,德,nan,2017-08-08
3241005,humoresque {Fr.},幽默曲,,法,nan,2017-08-08
3241006,Hungarian scale,匈牙利音阶,,英,nan,2017-08-08
3241007,hunting horn,猎号,,英,nan,2017-08-08
3241008,Hupfauf {Ger.},后续舞曲,,德,nan,2017-08-08
3241009,hurdy-gurdy,摇弦（弦）琴,,英,nan,2017-08-08
3241010,Hurtig {Ger.},迅速的；灵活的,,德,nan,2017-08-08
3241011,hydraulic organ,水压风琴,,英,nan,2017-08-08
3241012,hydraulis {Gr.},水压风琴,,希,nan,2017-08-08
3241013,hydraulus {Lat.},水压风琴,,拉,nan,2017-08-08
3241014,hymn,赞美歌,,英,nan,2017-08-08
3241015,hymn tune,赞美歌调,,英,nan,2017-08-08
3241016,Hymne d'Ambroise {Fr.},安布罗斯圣歌,,法,nan,2017-08-08
3241017,hymne national {Fr.},国歌,,法,nan,2017-08-08
3241018,hymne {Fr.},赞美歌,,法,nan,2017-08-08
3241019,Hymnus {Ger.},赞美歌,,德,nan,2017-08-08
3241020,hymnus {Lat.},赞美歌,,拉,nan,2017-08-08
3241021,hypo-aeolian,副伊奥利安调式,,英,nan,2017-08-08
3241022,hypo-aeolian mode,副伊奥利安调式,,英,nan,2017-08-08
3241023,hypo-dorian,副多里安调式,,英,nan,2017-08-08
3241024,hypo-ionian,副艾奥尼安调式,,英,nan,2017-08-08
3241025,hypo-locrian,副洛克里安调式,,英,nan,2017-08-08
3241026,hypo-lydian,副利地安调式,,英,nan,2017-08-08
3241027,hypo-mixolydian,副米索利地安调式,,英,nan,2017-08-08
3241028,hypo-phrygian,副弗里吉安调式,,英,nan,2017-08-08
3241029,hypo-phrygian mode,副弗里吉安调式,,英,nan,2017-08-08
3241030,Hypodorisch {Ger.},副多里安调式,,德,nan,2017-08-08
3241031,hypolydian mode,副利地安调式,,英,nan,2017-08-08
3241032,Hypolydisch {Ger.},副利地安调式,,德,nan,2017-08-08
3241033,Hypomixolidisch {Ger.},副米索利地安调式,,德,nan,2017-08-08
3241034,hypomixolydian mode,副米索利地安调式,,英,nan,2017-08-08
3241035,hypophrygian mode,副弗里吉安调式,,英,nan,2017-08-08
3241036,Hypophrygisch {Ger.},副弗里吉安调式,,德,nan,2017-08-08
3241037,Hyporchema {Gr.},古希腊颂歌,,希,nan,2017-08-08
3241038,iconographie musicale {Fr.},音乐图像学,,法,nan,2017-08-08
3241039,iconography of music,音乐图像学,,英,nan,2017-08-08
3241040,iconology,图像学,,英,nan,2017-08-08
3241041,idée fixe {Fr.},固定乐思,,法,nan,2017-08-08
3241042,idillio {It.},牧歌,,义,nan,2017-08-08
3241043,idiochord,同体弦,,英,nan,2017-08-08
3241044,idioglot,同体簧,,英,nan,2017-08-08
3241045,idiomelon {Gr.},自旋律,,希,nan,2017-08-08
3241046,Idiophon {Ger.},体鸣乐器,,德,nan,2017-08-08
3241047,idiophone,体鸣乐器,,英,nan,2017-08-08
3241048,idyll,田园曲；牧歌,,英,nan,2017-08-08
3241049,Ikonologie {Ger.},图像学,,德,nan,2017-08-08
3241050,Il più {It.},最…的；十分,,义,nan,2017-08-08
3241051,illustrative music,释述音乐,,英,nan,2017-08-08
3241052,îlot tonal {Fr.},音岛,,法,nan,2017-08-08
3241053,imagination,想像,,英,nan,2017-08-08
3241054,imbroglio,欺骗的；错综法,,义,nan,2017-08-08
3241055,imitation,模仿,,英,nan,2017-08-08
3241056,imitation by augmentation,增值模仿,,英,nan,2017-08-08
3241057,imitation by diminution,减值模仿,,英,nan,2017-08-08
3241058,imitation by inversion,反向模仿,,英,nan,2017-08-08
3241059,imitative accompaniment,模仿伴奏,,英,nan,2017-08-08
3241060,imitative counterpoint,模仿对位法,,英,nan,2017-08-08
3241061,imitative music,模仿音乐,,英,nan,2017-08-08
3241062,imitazion {It.},模仿,,义,nan,2017-08-08
3241063,Imitierender Kontrapunkt {Ger.},模仿对位法,,德,nan,2017-08-08
3241064,immer {Ger.},一直,,德,nan,2017-08-08
3241065,imperfect cadence,不完全终止,,英,nan,2017-08-08
3241066,imperfect chord,不完全和弦,,英,nan,2017-08-08
3241067,imperfect consonance,不完全协和；不完全协和音,,英,nan,2017-08-08
3241068,imperfect consonant interval,不完全协和音程,,英,nan,2017-08-08
3241069,imperfect interval,不完全音程,,英,nan,2017-08-08
3241070,imperfect time,不完全节拍,,英,nan,2017-08-08
3241071,imperfectio {Lat.},不完全,,拉,nan,2017-08-08
3241072,impeto {It.},热烈；激烈,,义,nan,2017-08-08
3241073,impétueux {Fr.},激烈的；鲁莽的；猛烈的,,法,nan,2017-08-08
3241074,impetuoso {It.},激烈的；鲁莽的,,义,nan,2017-08-08
3241075,impresario {It.},音乐经理；剧院经理,,义,nan,2017-08-08
3241076,Impressionism,印象主义；印象乐派,,英,nan,2017-08-08
3241077,Impressionismo {It.},印象主义；印象乐派,,义,nan,2017-08-08
3241078,Impressionismus {Ger.},印象主义；印象乐派,,德,nan,2017-08-08
3241079,Impressionnisme {Fr.},印象主义；印象乐派,,法,nan,2017-08-08
3241080,impromptu {Fr.},即兴曲,,法,nan,2017-08-08
3241081,improvisation,即兴演奏（唱）,,英,nan,2017-08-08
3241082,in alt {It.},高音区,,义,nan,2017-08-08
3241083,In nomine {Lat.},圣名曲,,拉,nan,2017-08-08
3241084,in seculum {Lat.},二声部曲,,拉,nan,2017-08-08
3241085,in tempo {It.},按原速；严守节拍,,义,nan,2017-08-08
3241086,inactive scale step,静音级,,英,nan,2017-08-08
3241087,Inca music,印加音乐,,英,nan,2017-08-08
3241088,incalzando {It.},加紧加快的,,义,nan,2017-08-08
3241089,incidental music,配乐,,英,nan,2017-08-08
3241090,incidental variation,偶然变奏,,英,nan,2017-08-08
3241091,incipit {Lat.},起始句,,拉,nan,2017-08-08
3241092,incomplete bar,不完全小节,,英,nan,2017-08-08
3241093,incomplete chord,不完全和弦（弦）,,英,nan,2017-08-08
3241094,incomplete counter exposition,不完全次呈示部,,英,nan,2017-08-08
3241095,incomplete entry,不完全进入,,英,nan,2017-08-08
3241096,incomplete exposition,不完全呈示部,,英,nan,2017-08-08
3241097,incomplete major ninth,不完全大九和弦（弦）,,英,nan,2017-08-08
3241098,incomplete measure,不完全小节,,英,nan,2017-08-08
3241099,incomplete motive,不完全动机,,英,nan,2017-08-08
3241100,incudine {It.},铁砧,,义,nan,2017-08-08
3241101,indeciso {It.},未定的；迟疑的,,义,nan,2017-08-08
3241102,indefinite form,不定形式,,英,nan,2017-08-08
3241103,independent chord,独立和弦（弦）,,英,nan,2017-08-08
3241104,indication de tempo {Fr.},速度记号,,法,nan,2017-08-08
3241105,indication métronomique {Fr.},节拍器记号,,法,nan,2017-08-08
3241106,indicazione di misura {It.},拍子记号,,义,nan,2017-08-08
3241107,indicazione di tempo {It.},速度记号,,义,nan,2017-08-08
3241108,indicazione metronomica {It.},节拍器记号,,义,nan,2017-08-08
