ID,英文詞彙,中文詞彙,藥理分類,審定日期,更新日期
21377966,aripiprazole,艾瑞哌喹酮；二氯哌𠯤喹酮,Antipsychotics: Atypical antipsychotics,114.2.26,2026-05-11
21377967,aspirin,阿斯匹林；乙醯水杨酸,Analgesics & Anesthetics: Nonsteroidal anti-inflammatory drugs (NSAIDs),114.2.26,2026-05-11
21377968,atracurium besylate,烷酯拟箭毒苯磺酸盐,Muscle relaxants: Peripherally acting agents [Analgesics & Anesthetics: Neuromuscular Blocking Agents],114.07.16,2026-05-11
21377969,benserazide,苄丝醯肼,Anti-Parkinson drugs: Dopaminergic agents,114.2.26,2026-05-11
21377970,benzbromarone,苯溴莫隆；苯呋喃溴酚酮,Antigout preparations,114.2.26,2026-05-11
21377971,biperiden,双环羟苄啶；双环庚烯羟苄啶,Anti-Parkinson drugs: Anticholinergic drugs,114.2.26,2026-05-11
21377972,bromazepam,溴吡氮呯酮,"Anxiolytics, Sedatives and Hypnotics: Benzodiazepines derivatives",114.2.26,2026-05-11
21377973,bromocriptine,溴白缬麦角胺,Anti-Parkinson drugs: Dopaminergic agents [Ergot alkaloids and its derivatives],114.2.26,2026-05-11
21377974,brotizolam,溴噻唑氮呯,"Anxiolytics, Sedatives and Hypnotics: Benzodiazepines derivatives",114.2.26,2026-05-11
21377975,bupivacaine,丁哌啶卡因,Analgesics & Anesthetics: Local anesthetics,114.2.26,2026-05-11
21377976,buprenorphine,丁原啡因；环丙啡因,Analgesics & Anesthetics: Opioid analgesics,114.2.26,2026-05-11
21377977,buspirone,丁螺醯亚胺,"Anxiolytics, Sedatives and Hypnotics: Others",114.2.26,2026-05-11
21377978,butorphanol,环丁啡醇,Analgesics & Anesthetics: Opioid analgesics,114.2.26,2026-05-11
21377979,cabergoline,卡泌乳麦角胺,Anti-Parkinson drugs: Dopaminergic agents [Ergot alkaloids and its derivatives],114.2.26,2026-05-11
21377980,celecoxib,悉乐炎泊,Analgesics & Anesthetics: Nonsteroidal anti-inflammatory drugs (NSAIDs),114.2.26,2026-05-11
21377981,cisatracurium besylate,顺烷酯拟箭毒苯磺酸盐,Muscle relaxants: Peripherally acting agents [Analgesics & Anesthetics: Neuromuscular Blocking Agents],114.07.16,2026-05-11
21377982,clozapine,氯唑氮呯；氯哌𠯤苯氮呯,Antipsychotics: Atypical antipsychotics,114.2.26,2026-05-11
21377983,codeine,咳定；可待因,Analgesics & Anesthetics: Opioid analgesics,114.2.26,2026-05-11
21377984,colchicine,秋水仙碱,Antigout preparations,114.2.26,2026-05-11
21377985,desflurane,六氟甲乙醚,Analgesics & Anesthetics: General anesthetics,114.2.26,2026-05-11
21377986,dexlansoprazole,右敛摄苯咪唑；右奥氟苯咪唑,Drugs for peptic ulcer and gastroesophageal reflux disease: Proton pump inhibitors,114.2.26,2026-05-11
21377987,dexmedetomidine,右三甲苄咪唑,"Anxiolytics, Sedatives and Hypnotics: Others",114.2.26,2026-05-11
21377988,dibismuth trioxide,三氧化二铋,Drugs for peptic ulcer and gastroesophageal reflux disease: Others,114.2.26,2026-05-11
21377989,diclofenac,二氯吩；二氯苯胺苯乙酸,Analgesics & Anesthetics: Nonsteroidal anti-inflammatory drugs (NSAIDs),114.2.26,2026-05-11
21377990,diflunisal,二氟苯水杨酸；二氟苯柳酸,Analgesics & Anesthetics: Nonsteroidal anti-inflammatory drugs (NSAIDs),114.2.26,2026-05-11
21377991,entacapone,恩达帕朋；反氰硝咖啡醯胺,Anti-Parkinson drugs: Dopaminergic agents,114.2.26,2026-05-11
21377992,ergometrine,麦角新碱,Uterine Stimulants [Ergot alkaloids and its derivatives],114.2.26,2026-05-11
21377993,ergonovine,麦角新碱,Uterine Stimulants [Ergot alkaloids and its derivatives],114.2.26,2026-05-11
21377994,ergotamine,麦角胺,Analgesics & Anesthetics: Antimigraine preparations,114.2.26,2026-05-11
21377995,esomeprazole,右奥甲酚咪唑,Drugs for peptic ulcer and gastroesophageal reflux disease: Proton pump inhibitors,114.2.26,2026-05-11
21377996,estazolam,氯唑氮呯,"Anxiolytics, Sedatives and Hypnotics: Benzodiazepines derivatives",114.2.26,2026-05-11
21377997,eszopiclone,右唑吡酮；右吡𠯤吡咯酮酯,"Anxiolytics, Sedatives and Hypnotics: Z-drugs",114.2.26,2026-05-11
21377998,etomidate,依托咪酯；甲苄咪酯,Analgesics & Anesthetics: General anesthetics,114.2.26,2026-05-11
21377999,etoricoxib,依妥炎泊,Analgesics & Anesthetics: Nonsteroidal anti-inflammatory drugs (NSAIDs),114.2.26,2026-05-11
21378000,febuxostat,苯丁司坦；苯丁醚噻唑酸,Antigout preparations,114.2.26,2026-05-11
21378001,fentanyl,吩坦尼,Analgesics & Anesthetics: Opioid analgesics,114.2.26,2026-05-11
21378002,flunitrazepam,氟硝氮呯酮,"Anxiolytics, Sedatives and Hypnotics: Benzodiazepines derivatives",114.2.26,2026-05-11
21378003,flupentixol,扶偏调思；氟硫𭈻醇,Antipsychotics: Typical antipsychotics,114.2.26,2026-05-11
21378004,fluphenzaine,氟羟吩𠯤；氟苯噻哌𠯤醇,Antipsychotics: Typical antipsychotics,114.2.26,2026-05-11
21378005,haloperidol,卤哌啶醇,Antipsychotics: Typical antipsychotics,114.2.26,2026-05-11
21378006,hydromorphone,氢吗啡酮,Analgesics & Anesthetics: Opioid analgesics,114.2.26,2026-05-11
21378007,hydrotalcite,水滑石；菱水镁铝石,Drugs for peptic ulcer and gastroesophageal reflux disease: Others,114.2.26,2026-05-11
21378008,ibuprofen,异丁炎息；异丁苯丙酸,Analgesics & Anesthetics: Nonsteroidal anti-inflammatory drugs (NSAIDs),114.2.26,2026-05-11
21378009,Indometacin,吲哚甲洒欣,Analgesics & Anesthetics: Nonsteroidal anti-inflammatory drugs (NSAIDs),114.2.26,2026-05-11
21378010,indomethacin,吲哚甲洒欣,Analgesics & Anesthetics: Nonsteroidal anti-inflammatory drugs (NSAIDs),114.2.26,2026-05-11
21378011,isoflurane,氯五氟甲乙醚,Analgesics & Anesthetics: General anesthetics,114.2.26,2026-05-11
21378012,ketorolac,克妥落；酮吡𫩒洒欣,Analgesics & Anesthetics: Nonsteroidal anti-inflammatory drugs (NSAIDs),114.2.26,2026-05-11
21378013,lansoprazole,敛摄苯咪唑；奥氟苯咪唑,Drugs for peptic ulcer and gastroesophageal reflux disease: Proton pump inhibitors,114.2.26,2026-05-11
21378014,levobupivacaine,左丁哌啶卡因,Analgesics & Anesthetics: Local anesthetics,114.2.26,2026-05-11
21378015,levodopa,左多巴,Anti-Parkinson drugs: Dopaminergic agents,114.2.26,2026-05-11
21378016,lithium carbonate,碳酸锂,Antipsychotics: Antimanic,114.2.26,2026-05-11
21378017,lysine acetylsalicylate,乙醯水杨酸离胺酸盐,Analgesics & Anesthetics: Nonsteroidal anti-inflammatory drugs (NSAIDs),114.2.26,2026-05-11
21378018,lysine aspirin,乙醯水杨酸离胺酸盐,Analgesics & Anesthetics: Nonsteroidal anti-inflammatory drugs (NSAIDs),114.2.26,2026-05-11
21378019,meloxicam,美炎克,Analgesics & Anesthetics: Nonsteroidal anti-inflammatory drugs (NSAIDs),114.2.26,2026-05-11
21378020,meperidine,甲哌苯酯；配西汀,Analgesics & Anesthetics: Opioid analgesics,114.2.26,2026-05-11
21378021,morphine,吗啡,Analgesics & Anesthetics: Opioid analgesics,114.2.26,2026-05-11
21378022,nalbuphine,环丁羟吗啡,Analgesics & Anesthetics: Opioid analgesics,114.2.26,2026-05-11
21378023,naproxen,萘炎息；甲氧萘丙酸,Analgesics & Anesthetics: Nonsteroidal anti-inflammatory drugs (NSAIDs),114.2.26,2026-05-11
21378024,olanzapine,沃唑噻氮呯；哌𠯤噻吩氮呯,Antipsychotics: Atypical antipsychotics,114.2.26,2026-05-11
21378025,omeprazole,奥甲酚咪唑,Drugs for peptic ulcer and gastroesophageal reflux disease: Proton pump inhibitors,114.2.26,2026-05-11
21378026,oxazolam,㗁唑氮呯酮,"Anxiolytics, Sedatives and Hypnotics: Benzodiazepines derivatives",114.2.26,2026-05-11
21378027,oxetacaine,羟乙双卡因,Analgesics & Anesthetics: Local anesthetics,114.2.26,2026-05-11
21378028,oxethazaine,羟乙双卡因,Analgesics & Anesthetics: Local anesthetics,114.2.26,2026-05-11
21378029,oxycodone,羟可酮；羟氢可待因酮,Analgesics & Anesthetics: Opioid analgesics,114.2.26,2026-05-11
21378030,paliperidone,帕利羟嘧酮,Antipsychotics: Atypical antipsychotics,114.2.26,2026-05-11
21378031,pantoprazole,泛妥苯咪唑,Drugs for peptic ulcer and gastroesophageal reflux disease: Proton pump inhibitors,114.2.26,2026-05-11
21378032,paracetamol,乙醯胺酚,Analgesics & Anesthetics: Other analgesics and antipyretics,114.2.26,2026-05-11
21378033,pegloticase,重组豚尿酸酶^聚乙二醇,Antigout preparations,114.2.26,2026-05-11
21378034,PEGylated recombinant porcine-like uricase,重组猪尿酸酶^聚乙二醇,Antigout preparations,114.2.26,2026-05-11
21378035,pethidine,配西汀；甲哌苯酯,Analgesics & Anesthetics: Opioid analgesics,114.2.26,2026-05-11
21378036,pramipexole,丙胺环己噻唑,Anti-Parkinson drugs: Dopaminergic agents,114.2.26,2026-05-11
21378037,propofol,二异丙酚,Analgesics & Anesthetics: General anesthetics,114.2.26,2026-05-11
21378038,rabeprazole,锐泊苯咪唑,Drugs for peptic ulcer and gastroesophageal reflux disease: Proton pump inhibitors,114.2.26,2026-05-11
21378039,rasagiline,右丙炔茚胺,Anti-Parkinson drugs: Dopaminergic agents,114.2.26,2026-05-11
21378040,rasburicase,重组曲尿酸酶,Antigout preparations,114.2.26,2026-05-11
21378041,remifentanil,瑞吩坦尼酯,Analgesics & Anesthetics: Opioid analgesics,114.2.26,2026-05-11
21378042,risperidone,睿思嘧酮,Antipsychotics: Atypical antipsychotics,114.2.26,2026-05-11
21378043,Rocuronium bromide,若箭毒溴盐；𠰌（啉）固醇吡咯锭溴盐,Muscle relaxants: Peripherally acting agents [Analgesics & Anesthetics: Neuromuscular Blocking Agents],114.9.19,2026-05-11
21378044,ropinirole,丙胺乙吲酮,Anti-Parkinson drugs: Dopaminergic agents,114.2.26,2026-05-11
21378045,rotigotine,左噻吩羟萘胺,Anti-Parkinson drugs: Dopaminergic agents,114.2.26,2026-05-11
21378046,salicylic Acid,柳酸；水杨酸,Analgesics & Anesthetics: Nonsteroidal anti-inflammatory drugs (NSAIDs),114.2.26,2026-05-11
21378047,sevoflurane,七氟甲丙醚,Analgesics & Anesthetics: General anesthetics,114.2.26,2026-05-11
21378048,succinylcholine chloride,丁二醯胆碱氯盐；琥珀醯胆碱氯盐,Muscle relaxants: Peripherally acting agents [Analgesics & Anesthetics: Neuromuscular Blocking Agents],114.2.26,2026-05-11
21378049,sulcralfate,糖硫酸铝酯；蔗糖全硫酸铝酯,Drugs for peptic ulcer and gastroesophageal reflux disease: Others,114.2.26,2026-05-11
21378050,sulfinpyrazone,亚砜吡唑酮；亚砜吡唑啶二酮,Antigout preparations,114.2.26,2026-05-11
21378051,sumatriptan,磺胺甲色胺,Analgesics & Anesthetics: Antimigraine preparations,114.2.26,2026-05-11
21378052,suxamethonium chloride,丁二醯胆碱氯盐；琥珀醯胆碱氯盐,Analgesics & Anesthetics: Neuromuscular Blocking Agents,114.2.26,2026-05-11
21378053,tenoxicam,天诺炎克,Analgesics & Anesthetics: Nonsteroidal anti-inflammatory drugs (NSAIDs),114.2.26,2026-05-11
21378054,thiamylal,硫戊丙烯妥,Analgesics & Anesthetics: General anesthetics,114.2.26,2026-05-11
21378055,tramadol,促吗醇；甲酚羟环己胺,Analgesics & Anesthetics: Opioid analgesics,114.2.26,2026-05-11
21378056,trifluoperazine,三氟吩𠯤；氟苯噻哌𠯤,Antipsychotics: Typical antipsychotics,114.2.26,2026-05-11
21378057,tripotassium dicitrate bismuthate,双柠檬酸铋三钾盐,Drugs for peptic ulcer and gastroesophageal reflux disease: Others,114.2.26,2026-05-11
21378058,zaleplon,唑嘧腈；氰唑嘧啶醯胺,"Anxiolytics, Sedatives and Hypnotics: Z-drugs",114.2.26,2026-05-11
21378059,zolpidem,唑吡坦；咪唑吡啶醯胺,"Anxiolytics, Sedatives and Hypnotics: Z-drugs",114.2.26,2026-05-11
21378060,zopiclone,唑吡酮；吡𠯤吡咯酮酯,"Anxiolytics, Sedatives and Hypnotics: Z-drugs",114.2.26,2026-05-11
21378061,(11-)deoxycorticosterone,皮质固烃,Adrenal Corticosteroids：Mineralocorticoids,114.5.27,2026-05-11
21378062,21-hydroxyprogesterone,皮质固烃,Adrenal Corticosteroids：Mineralocorticoids,114.5.27,2026-05-11
21378063,abatacept,艾拔融截炎,Anti-rheumatic Agents：Biological DMARDs,114.5.27,2026-05-11
21378064,acipimox,羧氧化吡𠯤,Lipid modifying agents：Nicotinic acid and derivatives,114.5.27,2026-05-11
21378065,adalimumab,艾达炎单抗,Anti-rheumatic Agents：Biological DMARDs,114.5.27,2026-05-11
21378066,alirocumab,艾利脂单抗,Lipid modifying agents：Proprotein Convertase Subtilisin Kexin Type 9 (PCSK9) Inhibitors,114.5.27,2026-05-11
21378067,amcinonide,皮质醇酯缩戊酮；氟羟皮质醇乙酸酯缩环戊酮,Adrenal Corticosteroids: Glucocorticoids,114.5.27,2026-05-11
21378068,apixaban,奥庇抑凝因,Antithrombotic agents：Direct factor Xa inhibitors,114.5.27,2026-05-11
21378069,arginine vasopressin,精胺酸升压肽,Agents Related to Pituitary and Hypothalamic Function: Posterior Pituitary Hormones,114.5.27,2026-05-11
21378070,argipressin,精胺酸升压肽,Agents Related to Pituitary and Hypothalamic Function: Posterior Pituitary Hormones,114.5.27,2026-05-11
21378071,atorvastatin,奥妥脂汀；氟吡咯脂汀,Lipid modifying agents：HMG-CoA reductase inhibitors,114.5.27,2026-05-11
21378072,beclometasone,表甲氯抑炎醇；表甲氯去氢皮质醇,Adrenal Corticosteroids：Methasone-type (16-methylated),114.5.27,2026-05-11
21378073,beclomethasone,表甲氯抑炎醇；表甲氯去氢皮质醇,Adrenal Corticosteroids：Methasone-type (16-methylated),114.5.27,2026-05-11
21378074,beclomethasone dipropionate,表甲氯抑炎醇二丙酸酯；表甲氯去氢皮质醇二丙酸酯,Adrenal Corticosteroids：Methasone-type (16-methylated),114.5.27,2026-05-11
21378075,bempedoic acid,羟次甲双壬酸,Lipid modifying agents：Other lipid modifying agents,114.5.27,2026-05-11
21378076,betamethasone,表甲抑炎醇；表甲氟去氢皮质醇,Adrenal Corticosteroids：Methasone-type (16-methylated),114.5.27,2026-05-11
21378077,betamethasone benzoate,表甲抑炎醇苯甲酸酯；表甲氟去氢皮质醇苯甲酸酯,Adrenal Corticosteroids：Methasone-type (16-methylated),114.5.27,2026-05-11
21378078,betamethasone dipropionate,表甲抑炎醇二丙酸酯；表甲氟去氢皮质醇二丙酸酯,Adrenal Corticosteroids：Methasone-type (16-methylated),114.5.27,2026-05-11
21378079,betamethasone valerate,表甲抑炎醇戊酸酯；表甲氟去氢皮质醇戊酸酯,Adrenal Corticosteroids：Methasone-type (16-methylated),114.5.27,2026-05-11
21378080,bezafibrate,苯醯胺纤维酸,Lipid modifying agents：Fibrates,114.5.27,2026-05-11
21378081,budesonide,羟抗炎醇缩丁醛；羟去氢皮质醇缩丁醛,Adrenal Corticosteroids: Glucocorticoids,114.5.27,2026-05-11
21378082,carbetocin,卡倍催产素；胱去胺硫催产肽,Agents Related to Pituitary and Hypothalamic Function: Posterior Pituitary Hormones,114.5.27,2026-05-11
21378083,cholestyramine,胆泰安；聚乙烯苯甲铵,Lipid modifying agents：Bile acid sequestrants,114.5.27,2026-05-11
21378084,choline fenofibrate,苯甲醯纤维酸胆碱,Lipid modifying agents：Fibrates,114.5.27,2026-05-11
21378085,ciclesonide,抗炎醇缩环己甲醛；羟去氢皮质醇丁酸酯缩环己甲醛,Adrenal Corticosteroids: Glucocorticoids,114.5.27,2026-05-11
21378086,ciclosporin,环孢素,Anti-rheumatic Agents：Disease-Modifying Antirheumatic Drugs (DMARDs),114.5.27,2026-05-11
21378087,clobetasol,氯表甲抑炎醇；氯代羟表甲氟去氢皮质醇,Adrenal Corticosteroids：Methasone-type (16-methylated),114.5.27,2026-05-11
21378088,clobetasol propionate,氯表甲抑炎醇丙酸酯；氯代羟表甲氟去氢皮质醇丙酸酯,Adrenal Corticosteroids：Methasone-type (16-methylated),114.5.27,2026-05-11
21378089,clobetasone,氯表甲抑炎酮；氯代羟表甲氟去氢皮质酮,Adrenal Corticosteroids：Methasone-type (16-methylated),114.5.27,2026-05-11
21378090,clobetasone butyrate,氯表甲抑炎酮丁酸酯；氯代羟表甲氟去氢皮质酮丁酸酯,Adrenal Corticosteroids：Methasone-type (16-methylated),114.5.27,2026-05-11
21378091,clocortolone,甲卤抑炎固醇；甲卤去氢皮质固醇,Adrenal Corticosteroids：Methasone-type (16-methylated),114.5.27,2026-05-11
21378092,clocortolone pivalate,甲卤抑炎固醇新戊酸酯；甲卤去氢皮质固醇新戊酸酯,Adrenal Corticosteroids：Methasone-type (16-methylated),114.5.27,2026-05-11
21378093,clofibrate,氯纤维酸酯,Lipid modifying agents：Fibrates,114.5.27,2026-05-11
21378094,clopidogrel,氯苄噻吩啶酯,Antithrombotic agents：Platelet aggregation inhibitors,114.5.27,2026-05-11
21378095,colesevelam,胆歇安；聚数烃丙烯胺,Lipid modifying agents：Bile acid sequestrants,114.5.27,2026-05-11
21378096,colestipol,胆利泊；聚甘油二（乙二胺）,Lipid modifying agents：Bile acid sequestrants,114.5.27,2026-05-11
21378097,colestyramine,胆泰安；聚乙烯苯甲铵,Lipid modifying agents：Bile acid sequestrants,114.5.27,2026-05-11
21378098,cortexone,皮质固烃,Adrenal Corticosteroids：Mineralocorticoids,114.5.27,2026-05-11
21378099,cortisol,皮质醇,Adrenal Corticosteroids: Glucocorticoids,114.5.27,2026-05-11
21378100,cortisone,皮质酮,Adrenal Corticosteroids: Glucocorticoids,114.5.27,2026-05-11
21378101,cortisone acetate,皮质酮乙酸酯,Adrenal Corticosteroids: Glucocorticoids,114.5.27,2026-05-11
21378102,cyclosporin(e),环孢素,Anti-rheumatic Agents：Disease-Modifying Antirheumatic Drugs (DMARDs),114.5.27,2026-05-11
21378103,dabigatran,达庇抑血栓；脒羧乙苯咪唑,Antithrombotic agents：Direct thrombin inhibitors,114.5.27,2026-05-11
21378104,dabigatran etexilate,达庇醯酯抑血栓；脒酯乙苯咪唑醯酯,Antithrombotic agents：Direct thrombin inhibitors,114.5.27,2026-05-11
21378105,dalteparin,达低肝素,Antithrombotic agents：Heparin group,114.5.27,2026-05-11
21378106,deflazacort,㗁唑抗炎醇酯；㗁唑去氢皮质醇乙酸酯,Adrenal Corticosteroids: Glucocorticoids,114.5.27,2026-05-11
21378107,deoxycortone,皮质固烃,Adrenal Corticosteroids：Mineralocorticoids,114.5.27,2026-05-11
21378108,desmopressin,去胺表升压肽,Agents Related to Pituitary and Hypothalamic Function: Posterior Pituitary Hormones,114.5.27,2026-05-11
21378109,desonide,抗炎醇缩丙酮；羟去氢皮质醇缩丙酮,Adrenal Corticosteroids: Glucocorticoids,114.5.27,2026-05-11
21378110,desoximetasone,甲抑炎固醇；氟甲去氢皮质固醇,Adrenal Corticosteroids：Methasone-type (16-methylated),114.5.27,2026-05-11
21378111,desoxycorticosterone acetate,皮质固烃乙酸酯,Adrenal Corticosteroids：Mineralocorticoids,114.5.27,2026-05-11
21378112,desoxycorticosterone pivalate,皮质固烃新戊酸酯,Adrenal Corticosteroids：Mineralocorticoids,114.5.27,2026-05-11
21378113,desoxycorticosterone trimethyl acetate,皮质固烃新戊酸酯,Adrenal Corticosteroids：Mineralocorticoids,114.5.27,2026-05-11
21378114,desoxycortone,皮质固烃,Adrenal Corticosteroids：Mineralocorticoids,114.5.27,2026-05-11
21378115,dexamethasone,甲抑炎醇；氟甲去氢皮质醇,Adrenal Corticosteroids：Methasone-type (16-methylated),114.5.27,2026-05-11
21378116,dexamethasone acefurate,甲抑炎醇糠乙二酸酯；氟甲去氢皮质醇糠乙二酸酯,Adrenal Corticosteroids：Methasone-type (16-methylated),114.5.27,2026-05-11
21378117,dexamethasone acetate,甲抑炎醇乙酸酯；氟甲去氢皮质醇乙酸酯,Adrenal Corticosteroids：Methasone-type (16-methylated),114.5.27,2026-05-11
21378118,dexamethasone isonicotinate,甲抑炎醇异烟碱酸酯；氟甲去氢皮质醇异烟碱酸酯,Adrenal Corticosteroids：Methasone-type (16-methylated),114.5.27,2026-05-11
21378119,dexamethasone sodium phosphate,甲抑炎醇磷酸酯钠；氟甲去氢皮质醇磷酸酯钠,Adrenal Corticosteroids：Methasone-type (16-methylated),114.5.27,2026-05-11
21378120,dicoumarol,亚甲双香豆醇,Antithrombotic agents：Vitamin K antagonists,114.5.27,2026-05-11
21378121,diflorasone,氟表甲抑炎醇；二氟表甲去氢皮质醇,Adrenal Corticosteroids：Methasone-type (16-methylated),114.5.27,2026-05-11
21378122,diflorasone diacetate,氟表甲抑炎醇二乙酸酯；二氟表甲去氢皮质醇二乙酸酯,Adrenal Corticosteroids：Methasone-type (16-methylated),114.5.27,2026-05-11
21378123,diflucortolone,氟甲抑炎固醇；二氟甲去氢皮质固醇,Adrenal Corticosteroids：Methasone-type (16-methylated),114.5.27,2026-05-11
21378124,diflucortolone valerate,氟甲抑炎固醇戊酸酯；二氟甲去氢皮质固醇戊酸酯,Adrenal Corticosteroids：Methasone-type (16-methylated),114.5.27,2026-05-11
21378125,difluocortolone,氟甲抑炎固醇；二氟甲去氢皮质固醇,Adrenal Corticosteroids：Methasone-type (16-methylated),114.5.27,2026-05-11
21378126,edoxaban,伊朶抑凝因,Antithrombotic agents：Direct factor Xa inhibitors,114.5.27,2026-05-11
21378127,enoxaparin,艾诺低肝素,Antithrombotic agents：Heparin group,114.5.27,2026-05-11
21378128,etanercept,依坦融截炎,Anti-rheumatic Agents：Biological DMARDs,114.5.27,2026-05-11
21378129,etofibrate,纤烟酸乙二酯,Lipid modifying agents：Fibrates,114.5.27,2026-05-11
21378130,evolocumab,依拂脂单抗,Lipid modifying agents：Proprotein Convertase Subtilisin Kexin Type 9 (PCSK9) Inhibitors,114.5.27,2026-05-11
21378131,ezetimibe,依泽抑甾摄；反氮呾酮抑甾摄,Lipid modifying agents：Other lipid modifying agents,114.5.27,2026-05-11
21378132,fenofibrate,苯甲醯纤维酸酯,Lipid modifying agents：Fibrates,114.5.27,2026-05-11
21378133,fludrocortisone,氟皮质醇,Adrenal Corticosteroids：Mineralocorticoids,114.5.27,2026-05-11
21378134,fludrocortisone acetate,氟皮质醇乙酸酯,Adrenal Corticosteroids：Mineralocorticoids,114.5.27,2026-05-11
21378135,flumetasone,氟甲抑炎醇；二氟甲去氢皮质醇,Adrenal Corticosteroids：Methasone-type (16-methylated),114.5.27,2026-05-11
21378136,flumethasone pivalate,氟甲抑炎醇新戊酸酯；二氟甲去氢皮质醇新戊酸酯,Adrenal Corticosteroids：Methasone-type (16-methylated),114.5.27,2026-05-11
21378137,fluocinolone acetonide,氟抑炎醇缩酮；二氟羟去氢皮质醇缩丙酮,Adrenal Corticosteroids: Glucocorticoids,114.5.27,2026-05-11
21378138,fluocinonide,氟抑炎醇酯缩酮；二氟羟去氢皮质醇缩丙酮乙酸酯,Adrenal Corticosteroids: Glucocorticoids,114.5.27,2026-05-11
21378139,fluocortin,甲对抑炎固酸；氟甲去氢皮质固酸,Adrenal Corticosteroids：Methasone-type (16-methylated),114.5.27,2026-05-11
21378140,fluocortin butyl,甲对抑炎固酸丁酯；氟甲去氢皮质固酸丁酯,Adrenal Corticosteroids：Methasone-type (16-methylated),114.5.27,2026-05-11
21378141,fluocortolone,甲对抑炎固醇；氟甲去氢皮质固醇,Adrenal Corticosteroids：Methasone-type (16-methylated),114.5.27,2026-05-11
21378142,fluoroformylone,氟甲醯皮质醇；甲醯氟羟异皮质醇缩丙酮乙酸酯,Adrenal Corticosteroids: Glucocorticoids,114.5.27,2026-05-11
21378143,fluorometholone,氟甲去羟抑炎醇；氟甲去氢去羟皮质醇,Adrenal Corticosteroids: Glucocorticoids,114.5.27,2026-05-11
21378144,fluorometholone acetate,氟甲去羟抑炎醇酯；氟甲去氢去羟皮质醇乙酸酯,Adrenal Corticosteroids: Glucocorticoids,114.5.27,2026-05-11
21378145,fluprednidene acetate,甲烯抑炎醇乙酸酯；氟甲烯去氢皮质醇乙酸酯,Adrenal Corticosteroids：Methasone-type (16-methylated),114.5.27,2026-05-11
21378146,fluticasone,氟硫甲抑炎醇；三氟硫甲去氢皮质醇,Adrenal Corticosteroids：Methasone-type (16-methylated),114.5.27,2026-05-11
21378147,fluticasone furoate,氟硫甲抑炎醇糠酸酯；三氟硫甲去氢皮质醇糠酸酯,Adrenal Corticosteroids：Methasone-type (16-methylated),114.5.27,2026-05-11
21378148,fluticasone propionate,氟硫甲抑炎醇丙酸酯；三氟硫甲去氢皮质醇丙酸酯,Adrenal Corticosteroids：Methasone-type (16-methylated),114.5.27,2026-05-11
21378149,fluvastatin,氟伐脂汀；氟吲烯脂汀,Lipid modifying agents：HMG-CoA reductase inhibitors,114.5.27,2026-05-11
21378150,formocortal,氟甲醯皮质醇；甲醯氟羟异皮质醇缩丙酮乙酸酯,Adrenal Corticosteroids: Glucocorticoids,114.5.27,2026-05-11
21378151,gabexate mesilate,胍凝卸甲磺酸盐；对胍醯苯甲酸酯甲磺酸盐,Antithrombotic agents：Others,114.5.27,2026-05-11
21378152,gabexate mesylate,胍凝卸甲磺酸盐；对胍醯苯甲酸酯甲磺酸盐,Antithrombotic agents：Others,114.5.27,2026-05-11
21378153,gemfibrozil,二甲苯庚酸醚,Lipid modifying agents：Fibrates,114.5.27,2026-05-11
21378154,golimumab,革利炎单抗,Anti-rheumatic Agents：Biological DMARDs,114.5.27,2026-05-11
21378155,halcinonide,氟氯皮质醇缩酮；氟羟氯代皮质醇缩丙酮,Adrenal Corticosteroids: Glucocorticoids,114.5.27,2026-05-11
21378156,halobetasol,卤表甲抑炎醇；氯代羟二氟表甲去氢皮质醇,Adrenal Corticosteroids：Methasone-type (16-methylated),114.5.27,2026-05-11
21378157,halobetasol propionate,卤表甲抑炎醇丙酸酯；氯代羟二氟表甲去氢皮质醇丙酸酯,Adrenal Corticosteroids：Methasone-type (16-methylated),114.5.27,2026-05-11
21378158,halometasone,卤甲抑炎醇；卤甲去氢皮质醇,Adrenal Corticosteroids：Methasone-type (16-methylated),114.5.27,2026-05-11
21378159,heparin,肝素,Antithrombotic agents：Heparin group,114.5.27,2026-05-11
21378160,hydrocortisone,皮质醇,Adrenal Corticosteroids: Glucocorticoids,114.5.27,2026-05-11
21378161,hydrocortisone aceponate,皮质醇丙乙二酸酯,Adrenal Corticosteroids: Glucocorticoids,114.5.27,2026-05-11
21378162,hydrocortisone butyrate,皮质醇丁酸酯,Adrenal Corticosteroids: Glucocorticoids,114.5.27,2026-05-11
21378163,hydrocortisone valerate,皮质醇戊酸酯,Adrenal Corticosteroids: Glucocorticoids,114.5.27,2026-05-11
21378164,hydroxymesterone,甲羟孕酮,Adrenal Corticosteroids: Glucocorticoids,114.5.27,2026-05-11
21378165,hydroxymethylprogesterone,甲羟孕酮,Adrenal Corticosteroids: Glucocorticoids,114.5.27,2026-05-11
21378166,inclisiran,抑脂扰核酸,Lipid modifying agents：Proprotein Convertase Subtilisin Kexin Type 9 (PCSK9) Inhibitors,114.5.27,2026-05-11
21378167,leflunomide,氟苯异㗁唑醯胺,Anti-rheumatic Agents：Disease-Modifying Antirheumatic Drugs (DMARDs),114.5.27,2026-05-11
21378168,loteprednol etabonate,氯泪沛诺碳酸乙酯；羟去氢异睪酮氯甲酯碳酸乙酯,Adrenal Corticosteroids: Glucocorticoids,114.5.27,2026-05-11
