ID,英文名稱,中文名稱,圖片,中國大陸譯名,更新日期
3543517,ex-dividend date,除息日,,除息日,2018-06-26
3543518,executory contract,待履行合约,,nan,2018-06-26
3543519,exemptions,豁免,,nan,2018-06-26
3543520,exercise date,执行日；行使日；履约日,,nan,2018-06-26
3543521,exercise of rights,行使[新股认购]权利,,nan,2018-06-26
3543522,exercise price,执行价格；行使价格；履约价格,,nan,2018-06-26
3543523,existing liability,既有负债,,nan,2018-06-26
3543524,exit price,退出价格,,nan,2018-06-26
3543525,expected cash flow,期望现金流量,,nan,2018-06-26
3543526,expected monetary value,货币期望值,,nan,2018-06-26
3543527,expected rate of deviation,预期偏差率,,nan,2018-06-26
3543528,expected value,预期值；期望值；预计价值,,nan,2018-06-26
3543529,expenditure,支出,,nan,2018-06-26
3543530,expense,费用；费损,,费用,2018-06-26
3543531,expense account analysis,费用帐户分析,,nan,2018-06-26
3543532,expense center,费用中心,,费用中心,2018-06-26
3543533,expenses,费损{与income合用}；费用,,nan,2018-06-26
3543534,experience account,经验帐户,,nan,2018-06-26
3543535,experience adjustments,经验调整[数],,nan,2018-06-26
3543536,experience curve,经验曲线,,nan,2018-06-26
3543537,expiry date,失效日；满期日；到期日,,nan,2018-06-26
3543538,exploration and evaluation assets,探勘及评估资产,,nan,2018-06-26
3543539,exploration and evaluation expenditures,探勘及评估支出,,nan,2018-06-26
3543540,exploration for and evaluation of mineral resources,矿产资源探勘及评估,,nan,2018-06-26
3543541,exposure draft,草案,,nan,2018-06-26
3543542,external document,外部文件,,nan,2018-06-26
3543543,external failure costs,外部失败成本,,nan,2018-06-26
3543544,extraordinary items,非常项目,,非经常性损益,2018-06-26
3543545,facility-sustaining costs,设值支援成本,,nan,2018-06-26
3543546,factoring,应收帐款承购,,保理,2018-06-26
3543547,factory overhead costs,制造费用成本,,nan,2018-06-26
3543548,factual misstatements,实际不实表达,,nan,2018-06-26
3543549,fair presentation,公允表达,,nan,2018-06-26
3543550,fair value,公允价值；公平价值,,公允价值,2018-06-26
3543551,fair value estimates,公允价值估计值；公平价值估计值,,nan,2018-06-26
3543552,fair value gains and losses,公允价值利益及损失,,nan,2018-06-26
3543553,fair value hedge,公允价值避险,,nan,2018-06-26
3543554,fair value less costs of disposal,公允价值减处分成本,,nan,2018-06-26
3543555,fair value less costs to sell,公允价值减出售成本,,nan,2018-06-26
3543556,fair value measurement,公允价值衡量,,nan,2018-06-26
3543557,fair value model,公允价值模式,,nan,2018-06-26
3543558,fair value of equity instruments,权益工具之公允价值{IFRS 3},,nan,2018-06-26
3543559,faithful representation,忠实表达,,nan,2018-06-26
3543560,family trust,家族信托,,nan,2018-06-26
3543561,favorable variance,有利差异,,nan,2018-06-26
3543562,fees,费[用],,nan,2018-06-26
3543563,fellow subsidiary,兄弟公司,,nan,2018-06-26
3543564,fidelity bonds,诚实保险,,nan,2018-06-26
3543565,fiduciary activities,受托活动,,nan,2018-06-26
3543566,fiduciary capacity,受托人身分,,nan,2018-06-26
3543567,FIFO formula,先进先出公式,,nan,2018-06-26
3543568,finance director,财务主管,,nan,2018-06-26
3543569,finance lease,融资租赁,,nan,2018-06-26
3543570,finance lease obligations,融资租赁负债；融资租赁义务,,nan,2018-06-26
3543571,financial accounting,财务会计,,财务会计,2018-06-26
3543572,Financial Accounting Standards Board {=FASB},美国财务会计准则理事会,,美国会计准则委员会,2018-06-26
3543573,financial asset,金融资产,,nan,2018-06-26
3543574,financial asset or financial liability at fair value through profit or loss,公允价值变动列入损益之金融资产或金融负债,,nan,2018-06-26
3543575,financial asset or liability held for trading,持有供交易之金融资产或负债,,nan,2018-06-26
3543576,financial assets,金融资产,,金融资产,2018-06-26
3543577,financial assets available for sale,备供出售金融资产,,可供出售金融资产,2018-06-26
3543578,financial budget,财务预算,,nan,2018-06-26
3543579,financial capital,财务资本,,nan,2018-06-26
3543580,financial conglomerate,金融集团,,nan,2018-06-26
3543581,financial distress,财务危机,,财务困境,2018-06-26
3543582,financial expense,财务费用,,财务费用,2018-06-26
3543583,financial flexibility,财务弹性,,财务灵活性,2018-06-26
3543584,financial guarantee,财务保证,,nan,2018-06-26
3543585,financial guarantee contract,财务保证合约,,nan,2018-06-26
3543586,financial institution,金融机构,,nan,2018-06-26
3543587,financial instruments,金融工具,,nan,2018-06-26
3543588,financial instruments puttable at fair value,可按公允价值卖回之金融工具,,nan,2018-06-26
3543589,financial leasing,融资租赁,,融资租赁,2018-06-26
3543590,financial leverage,财务杠杆,,财务杠杆,2018-06-26
3543591,financial liability,金融负债,,nan,2018-06-26
3543592,financial liability at fair value through profit or loss,透过损益按公允价值衡量之金融负债,,nan,2018-06-26
3543593,financial performance,财务绩效,,nan,2018-06-26
3543594,financial performance,财务绩效,,nan,2018-06-26
3543595,financial planning models,财务规划模式,,nan,2018-06-26
3543596,financial position,财务状况,,nan,2018-06-26
3543597,financial reporting,财务报导,,财务报告,2018-06-26
3543598,financial reporting procedures manuals,财务报导程序手册,,nan,2018-06-26
3543599,financial restructuring,财务重组,,财务重组,2018-06-26
3543600,financial review,财务复核,,nan,2018-06-26
3543601,financial risk,财务风险,,nan,2018-06-26
3543602,financial service fees,金融服务费,,nan,2018-06-26
3543603,financial statement audit,财务报表审计,,nan,2018-06-26
3543604,financial statement disclosure checklist,财务报表揭露检测表,,nan,2018-06-26
3543605,financial statement footnotes,财务报表附注,,会计报表附注,2018-06-26
3543606,financial statement restatements,财务报表重编,,财务重述,2018-06-26
3543607,financial statements,财务报表,,财务报表,2018-06-26
3543608,financial statements review,财务报表核阅,,财务报表审阅,2018-06-26
3543609,financial year-to-date basis,财务年度至今基础,,nan,2018-06-26
3543610,financing activities,筹资活动,,nan,2018-06-26
3543611,financing device,筹资工具,,nan,2018-06-26
3543612,finished good,制成品,,完工产品,2018-06-26
3543613,finished goods inventory,制成品存货,,nan,2018-06-26
3543614,firm commitment,确定承诺,,nan,2018-06-26
3543615,firm purchase commitment,确定购买承诺,,nan,2018-06-26
3543616,firm sales contracts,确定销售合约,,nan,2018-06-26
3543617,first IFRS financial statements,首次采用国际财务报导准则之财务报表,,nan,2018-06-26
3543618,first IFRS reporting period,首份国际财务报导准则报导期间,,nan,2018-06-26
3543619,"first-in, first-out {=FIFO}",先进先出法,,先进先出法,2018-06-26
3543620,"first-in, first-out {=FIFO} -process-costing method",先进先出法分步成本制,,nan,2018-06-26
3543621,first-time adopter,首次采用者,,nan,2018-06-26
3543622,first-time adoption,首次采用,,nan,2018-06-26
3543623,first-time adoption of international financial reporting standards,首次采用国际财务报导准则,,nan,2018-06-26
3543624,first-time application,首次适用,,nan,2018-06-26
3543625,first-time application of IASs as the primary basis of accounting,首次适用国际会计准则作为主要会计基础,,nan,2018-06-26
3543626,fixed asset,固定资产,,nan,2018-06-26
3543627,fixed asset master file,固定资产主档,,nan,2018-06-26
3543628,fixed assets,固定资产,,固定资产,2018-06-26
3543629,fixed cost,固定成本,,固定成本,2018-06-26
3543630,fixed coupon rate,固定息票利率,,nan,2018-06-26
3543631,fixed overhead flexible-budget variance,固定制造费用弹性预算差异,,nan,2018-06-26
3543632,fixed overhead spending variance,固定制造费用用款差异,,nan,2018-06-26
3543633,fixed price contract,固定价格合约,,nan,2018-06-26
3543634,fixed production overheads,固定制造费用,,nan,2018-06-26
3543635,fixed-to-floating  cross-currency   interest   rateswap,固定对浮动之外币换汇换利,,nan,2018-06-26
3543636,flat yield curve,水平殖利率曲线,,nan,2018-06-26
3543637,flexible budget,弹性预算,,弹性预算,2018-06-26
3543638,flexible-budget variance,弹性预算差异,,nan,2018-06-26
3543639,floating rate,浮动利率；浮动汇率,,nan,2018-06-26
3543640,floor,下限,,nan,2018-06-26
3543641,flotation cost,发行成本,,发行成本,2018-06-26
3543642,flowchart,流程图,,nan,2018-06-26
3543643,forecast,预测,,nan,2018-06-26
3543644,forecast transaction,预期交易,,nan,2018-06-26
3543645,forecasts,预测,,nan,2018-06-26
3543646,foreign corrupt practices act,反海外行贿法,,nan,2018-06-26
3543647,foreign currency,外币,,nan,2018-06-26
3543648,foreign currency derivative,外币衍生工具,,nan,2018-06-26
3543649,foreign currency derivatives,外币衍生工具,,nan,2018-06-26
3543650,foreign currency exchange prices,外币兑换价格,,nan,2018-06-26
3543651,foreign currency transaction,外币交易,,nan,2018-06-26
3543652,foreign currency translation reserve {=FCTR},外币换算准备,,nan,2018-06-26
3543653,foreign entity,国外个体,,nan,2018-06-26
3543654,foreign exchange contract,外汇合约,,nan,2018-06-26
3543655,foreign exchange differences,兑换差额,,nan,2018-06-26
3543656,foreign exchange rates,外币汇率,,nan,2018-06-26
3543657,foreign operation,国外营运机构,,nan,2018-06-26
3543658,forensic accounting,鉴识会计,,法务会计,2018-06-26
3543659,foreseeable users,可预见之财务报表使用者,,nan,2018-06-26
3543660,foreseen users,可辨认之财务报表使用者,,nan,2018-06-26
3543661,forgivable loans,可免除贷款,,nan,2018-06-26
3543662,forward contract,远期合约,,nan,2018-06-26
3543663,forward coupon rate,远期息票利率,,nan,2018-06-26
3543664,forward purchase contract,远期购买合约,,nan,2018-06-26
3543665,forward repurchase agreement,远期再买回协议,,nan,2018-06-26
3543666,framework,架构,,nan,2018-06-26
3543667,franchise fee,特许权费,,nan,2018-06-26
3543668,fraud,舞弊,,nan,2018-06-26
3543669,fraud audit,舞弊查核,,舞弊审计,2018-06-26
3543670,fraud risk,舞弊风险,,nan,2018-06-26
3543671,fraud risk factors,舞弊风险因子,,nan,2018-06-26
3543672,fraud triangle,舞弊三角,,nan,2018-06-26
3543673,fraudulent financial reporting,财务报导舞弊,,nan,2018-06-26
3543674,free cash flow {=FCF},自由现金流量,,自由现金流量,2018-06-26
3543675,frozen credit spread method,冻结信用价差法,,nan,2018-06-26
3543676,full costing,全部成本法,,完全成本法,2018-06-26
3543677,full costs of the product,全部产品成本,,nan,2018-06-26
3543678,full fair value,完全公允价值,,nan,2018-06-26
3543679,fully proportionate {pro rata} share of the cash flows,现金流量完全按比例之份额,,nan,2018-06-26
3543680,function of expense method,销货成本法{依功能别划分费用},,nan,2018-06-26
3543681,functional currency,功能性货币,,记账本位币,2018-06-26
3543682,fund manager,基金经理人,,nan,2018-06-26
3543683,fundamental errors,基本错误,,nan,2018-06-26
3543684,funding,提供资金；提拨资金；资金；提拨,,nan,2018-06-26
3543685,funding of post-employment benefits,退职后福利之基金提拨,,nan,2018-06-26
3543686,funding of retirement benefits,退休福利之基金提拨,,nan,2018-06-26
3543687,further audit procedures,进一步查核程序,,nan,2018-06-26
3543688,future cash flow,未来现金流量,,nan,2018-06-26
3543689,future economic benefit,未来经济效益,,nan,2018-06-26
3543690,future value,终值,,终值,2018-06-26
3543691,futures contract,期货合约,,nan,2018-06-26
3543692,gain on disposal,处分利益,,nan,2018-06-26
3543693,gains,利益,,nan,2018-06-26
3543694,gains or losses from changes in fair values,公允价值变动损益,,公允价值变动损益,2018-06-26
3543695,general cash account,现金总帐,,nan,2018-06-26
3543696,general controls,一般控制,,nan,2018-06-26
3543697,general ledger,总分类帐,,总分类账,2018-06-26
3543698,general purchasing power approach,一般购买力法,,nan,2018-06-26
3543699,general purpose financial statements,一般目的财务报表；一般用途财务报表,,nan,2018-06-26
3543700,general recognition principle,一般认列原则,,nan,2018-06-26
3543701,generalized audit software {=GAS},通用审计软体,,nan,2018-06-26
3543702,Generally Accepted Accounting Principles {=GAAP},一般公认会计原则,,nan,2018-06-26
3543703,generally accepted auditing standards {=GAAS},一般公认审计准则,,nan,2018-06-26
3543704,geographical segments,地区别部门,,nan,2018-06-26
3543705,goal congruence,目标的一致性,,nan,2018-06-26
3543706,going concern,继续经营,,nan,2018-06-26
3543707,going concern assumption,继续经营假设,,nan,2018-06-26
3543708,going concern postulate,继续经营假设,,持续经营假设,2018-06-26
3543709,going-private transaction,下市交易,,转为非上市,2018-06-26
3543710,goods-in on consignment,代销品,,受托代销商品,2018-06-26
3543711,goods-out on consignment,寄销品,,委托代销商品,2018-06-26
3543712,goodwill,商誉,,商誉,2018-06-26
3543713,Gordon growth model,Gordon成长模型,,戈登增长模型,2018-06-26
3543714,governing board,治理理事会；治理董事会,,nan,2018-06-26
3543715,governing body,治理单位,,nan,2018-06-26
3543716,governing charter,治理章程,,nan,2018-06-26
3543717,government assistance,政府辅助,,nan,2018-06-26
3543718,government audit,政府审计,,政府审计,2018-06-26
3543719,government auditing standards,政府审计准则,,nan,2018-06-26
3543720,government audits,政府审计,,nan,2018-06-26
3543721,government grants,政府补助,,nan,2018-06-26
3543722,government guarantee,政府保证,,nan,2018-06-26
3543723,government loans,政府贷款,,nan,2018-06-26
3543724,government-controlled entities,政府控制企业,,nan,2018-06-26
3543725,government-related entity,政府关系个体,,nan,2018-06-26
3543726,grant date,给与日,,nan,2018-06-26
3543727,grantor,授予人,,nan,2018-06-26
3543728,grants related to assets,与资产有关之补助,,nan,2018-06-26
3543729,grants related to income,与收益有关之补助,,nan,2018-06-26
3543730,gross investment in the lease,租赁投资总额,,nan,2018-06-26
3543731,gross margin,毛利率；毛利,,销售毛利率,2018-06-26
3543732,gross margin percentage,毛利率,,nan,2018-06-26
3543733,gross profit,毛利,,销售毛利,2018-06-26
3543734,group,集团；集体,,nan,2018-06-26
3543735,group administration [employee benefit] plans,集体管理[员工福利]计划,,nan,2018-06-26
3543736,group audit,集团查核,,nan,2018-06-26
3543737,group cash-settled share-based payment transactions,集团之现金交割股份基础给付交易,,nan,2018-06-26
3543738,group financial statements,集团财务报表,,nan,2018-06-26
3543739,group insurance contract,团体保险合约,,nan,2018-06-26
3543740,group of assets,资产群组,,nan,2018-06-26
3543741,group of biological assets,生物资产群组,,nan,2018-06-26
3543742,grouping of assets,资产之分组,,nan,2018-06-26
3543743,group-wide control,集团层级控制,,nan,2018-06-26
3543744,growth component,成长因素,,nan,2018-06-26
3543745,guarantee,保证,,nan,2018-06-26
3543746,guarantee amount,保证金额,,nan,2018-06-26
3543747,guarantee fund,保证基金,,nan,2018-06-26
3543748,guaranteed benefits,保证给付,,nan,2018-06-26
3543749,guaranteed element,保证要素,,nan,2018-06-26
3543750,guaranteed residual value,保证残值,,nan,2018-06-26
3543751,guarantor,保证人,,nan,2018-06-26
3543752,haphazard sample selection,随意抽样法,,nan,2018-06-26
3543753,hardware controls,硬体控制,,nan,2018-06-26
3543754,harmonise,调合,,nan,2018-06-26
3543755,harvest,收成,,nan,2018-06-26
3543756,hedge accounting,避险会计,,nan,2018-06-26
3543757,hedge effectiveness,避险有效性,,nan,2018-06-26
3543758,hedge ineffectiveness,避险无效性,,nan,2018-06-26
3543759,hedge ratio,避险比率,,nan,2018-06-26
3543760,hedged item,被避险项目,,nan,2018-06-26
3543761,hedges of a net investment in a foreign operation,国外营运机构净投资之避险,,nan,2018-06-26
3543762,hedging,避险,,nan,2018-06-26
3543763,hedging instrument,避险工具,,nan,2018-06-26
3543764,hedging relationship,避险关系,,nan,2018-06-26
3543765,hedging reserve,避险准备,,nan,2018-06-26
3543766,held for resale,持有供再出售,,nan,2018-06-26
3543767,held for sale,待出售；持有供出售,,nan,2018-06-26
3543768,held for trading,持有供交易,,nan,2018-06-26
3543769,held for trading financial assets,持有供交易金融资产,,交易性金融资产,2018-06-26
3543770,held-to-maturity investment,持有至到期日投资,,持有至到期投资,2018-06-26
3543771,higher level parent entity,较高层级母公司,,nan,2018-06-26
3543772,highest and best use,最高及最佳使用,,nan,2018-06-26
3543773,high-low method,高低点法,,nan,2018-06-26
3543774,highly probable,高度很有可能,,nan,2018-06-26
3543775,hire-purchase contract,租购合约,,nan,2018-06-26
3543776,historical cost,历史成本,,历史成本,2018-06-26
3543777,historical loss experience,历史损失经验,,nan,2018-06-26
3543778,holding company,控股公司,,nan,2018-06-26
3543779,homogeneous cost pool,同质性成本库,,nan,2018-06-26
3543780,honesty and integrity,诚信正直,,nan,2018-06-26
3543781,horizontal acquisition,水准购并；水准并购,,横向并购,2018-06-26
3543782,horizontal analysis,横断面分析,,nan,2018-06-26
3543783,host contract,主契约,,nan,2018-06-26
3543784,host instrument,主工具,,nan,2018-06-26
3543785,hostile takeover,恶意收购,,恶意收购,2018-06-26
3543786,hurdle rate,临界点报酬率,,nan,2018-06-26
3543787,hybrid contract,混合合约,,nan,2018-06-26
3543788,hybrid instrument,混合工具,,nan,2018-06-26
3543789,hybrid-costing system,混合成本制度,,nan,2018-06-26
3543790,hyperinflation,高度通货膨胀,,nan,2018-06-26
3543791,hyperinflationary economies,高度通货膨胀经济,,nan,2018-06-26
3543792,IASC Foundation Constitution,国际会计准则委员会基金会章程,,nan,2018-06-26
3543793,IASCF,国际会计准则委员会基金会,,nan,2018-06-26
3543794,identifiability,可辨认性,,nan,2018-06-26
3543795,identifiable asset,可辨认资产,,nan,2018-06-26
3543796,idle time,闲置时间,,nan,2018-06-26
3543797,IFRS,国际财务报导准则,,nan,2018-06-26
3543798,IFRS Advisory Council,国际财务报导准则咨询委员会,,nan,2018-06-26
3543799,IFRS Foundation,国际财务报导准则基金会,,nan,2018-06-26
3543800,IFRS Interpretations Committee,国际财务报导准则解释委员会,,nan,2018-06-26
3543801,impairment,减损,,nan,2018-06-26
3543802,impairment loss,减损损失,,nan,2018-06-26
3543803,impairment of assets,资产减损,,资产减值,2018-06-26
3543804,impairment test,减损测试,,nan,2018-06-26
3543805,implementation guidance,执行指引,,nan,2018-06-26
3543806,impracticability exemption,实务上不可行之豁免,,nan,2018-06-26
3543807,impracticable,实务上不可行,,nan,2018-06-26
3543808,imprest payroll account,薪资专户,,nan,2018-06-26
3543809,imprest petty cash fund,零用金专户,,nan,2018-06-26
3543810,imputed costs,设算成本,,nan,2018-06-26
3543811,imputed rate of interest,设算利率,,nan,2018-06-26
3543812,in the money,价内,,nan,2018-06-26
3543813,incentives/pressures,诱因或压力,,nan,2018-06-26
3543814,inception of the Lease,租赁开始日,,nan,2018-06-26
3543815,incidental income,非主要收益,,nan,2018-06-26
3543816,incidental operations,非主要营运,,nan,2018-06-26
3543817,income,收益,,nan,2018-06-26
3543818,income approach,收益法；损益法,,nan,2018-06-26
3543819,income from a structured entity,来自结构型个体之收益,,nan,2018-06-26
3543820,income smoothing,盈余平稳化；损益平稳化,,利润平滑,2018-06-26
3543821,income statement,损益表,,利润表,2018-06-26
3543822,income statement liability method,损益表负债法,,nan,2018-06-26
3543823,income tax expense,所得税费用,,nan,2018-06-26
3543824,income tax[es],所得税,,nan,2018-06-26
3543825,incompatible functions,不相容职务,,不相容职务,2018-06-26
3543826,incongruent decision making,反功能决策,,nan,2018-06-26
3543827,increasing rate preference shares,股利递增特别股,,nan,2018-06-26
3543828,incremental budget,增量预算{以前期预算为基准再行调整之预算},,增量预算,2018-06-26
3543829,incremental cost,增额成本,,增量成本,2018-06-26
3543830,incremental cost-allocation method,增额共同成本分摊法,,nan,2018-06-26
3543831,incremental costs,增额成本,,nan,2018-06-26
3543832,incremental revenue,增额收益,,nan,2018-06-26
3543833,incremental revenue-allocation method,增额收入分摊法,,nan,2018-06-26
3543834,incremental unit-time learning model,增额单位时间学习模式,,nan,2018-06-26
3543835,indemnification assets,补偿性资产,,nan,2018-06-26
3543836,independence,独立性,,nan,2018-06-26
3543837,independence in appearance,形式独立,,形式上的独立,2018-06-26
3543838,independence in fact,实质独立,,实质上的独立,2018-06-26
3543839,independence of mind,实质独立,,nan,2018-06-26
3543840,independent audit,独立审计,,独立审计,2018-06-26
3543841,independent registrar,股务代理,,nan,2018-06-26
3543842,independent variable,自变数,,nan,2018-06-26
3543843,indication of an impairment,减损迹象,,nan,2018-06-26
3543844,indicator of impairment,减损迹象,,nan,2018-06-26
3543845,indirect cost,间接成本,,间接成本,2018-06-26
3543846,indirect costs of a cost object,成本标的之间接成本,,nan,2018-06-26
3543847,indirect financial interest,间接财务利益,,nan,2018-06-26
3543848,indirect labor,间接人工,,间接人工,2018-06-26
3543849,indirect manufacturing costs,间接制造成本,,nan,2018-06-26
3543850,indirect materials,间接材料,,间接材料,2018-06-26
3543851,individual asset,个别资产,,nan,2018-06-26
3543852,individual financial significance,个别财务重要性,,nan,2018-06-26
3543853,individual financial statements,个别财务报表,,nan,2018-06-26
3543854,induced conversion,诱导转换,,nan,2018-06-26
3543855,industrial engineering method,工业工程法,,nan,2018-06-26
3543856,industry segments,产业部门,,nan,2018-06-26
3543857,inflation,通货膨胀,,nan,2018-06-26
3543858,information and communication,资讯系统及沟通,,nan,2018-06-26
3543859,information risk,资讯风险,,nan,2018-06-26
3543860,information technology,资讯科技,,nan,2018-06-26
3543861,informational inquiry,资讯性查询,,nan,2018-06-26
3543862,inherent risk,固有风险,,固有风险,2018-06-26
3543863,initial direct costs,原始直接成本,,nan,2018-06-26
3543864,initial disclosure event [for a discontinuing operation],[停业单位之]原始揭露事件,,nan,2018-06-26
3543865,initial measurement,原始衡量,,nan,2018-06-26
3543866,initial public offering,初次上市柜；首次公开募集,,nan,2018-06-26
3543867,initial public offering {=IPO},初次公开募集,,首次公开发行,2018-06-26
3543868,initial recognition,原始认列,,nan,2018-06-26
3543869,input controls,输入控制,,nan,2018-06-26
3543870,input-price variance,投入价格差异,,nan,2018-06-26
3543871,inquiry,查询,,nan,2018-06-26
3543872,insourcing,内供,,nan,2018-06-26
3543873,inspection,检查,,nan,2018-06-26
3543874,inspection point,检验点,,nan,2018-06-26
3543875,installment sale,分期付款销货,,分期收款销售商品,2018-06-26
3543876,institute of internal auditors {=IIA},内部稽核协会,,nan,2018-06-26
3543877,instrument-by-instrument approach,逐项工具法,,nan,2018-06-26
3543878,in-substance defeasance,视同清偿,,nan,2018-06-26
3543879,insurable interest,可保利益,,nan,2018-06-26
3543880,insurance assets,保险资产,,nan,2018-06-26
3543881,insurance contract[s],保险合约,,nan,2018-06-26
3543882,insurance investment funds,保险投资基金,,nan,2018-06-26
3543883,insurance liability,保险负债,,nan,2018-06-26
3543884,insurance obligations,保险义务,,nan,2018-06-26
3543885,insurance risk,保险风险,,nan,2018-06-26
3543886,insurance swaps,保险交换,,nan,2018-06-26
3543887,insured event,保险事件,,nan,2018-06-26
3543888,insurer,保险人,,nan,2018-06-26
3543889,intangible asset[s],无形资产,,nan,2018-06-26
3543890,intangible assets,无形资产,,无形资产,2018-06-26
3543891,integral foreign operation,整合性国外营运机构,,nan,2018-06-26
3543892,interactive control systems,互动控制系统,,nan,2018-06-26
3543893,intercept,截距,,nan,2018-06-26
3543894,intercompany transactions,集团内企业间之交易,,nan,2018-06-26
3543895,interest,利息；利益；权益,,nan,2018-06-26
3543896,interest in another entity,对另一个体之权益,,nan,2018-06-26
3543897,interest payable,应付利息,,应付利息,2018-06-26
3543898,interest rate exposure,利率暴险,,nan,2018-06-26
3543899,interest rate implicit in a lease,租赁隐含利率,,nan,2018-06-26
3543900,interest rate risk,利率风险,,nan,2018-06-26
3543901,interest rate strip,利息分割证券,,nan,2018-06-26
3543902,interest rate swap,利率交换,,nan,2018-06-26
3543903,interest receivable,应收利息,,应收利息,2018-06-26
3543904,interest tax shield,利息税盾,,利息税盾,2018-06-26
3543905,interest-only strip,分割利息债券,,nan,2018-06-26
3543906,interest-only strip receivable,分割利息债券应收款,,nan,2018-06-26
3543907,interests in joint ventures,合资权益,,nan,2018-06-26
3543908,interim financial report,期中财务报告,,nan,2018-06-26
3543909,interim financial reporting,期中财务报导,,nan,2018-06-26
3543910,interim financial statements,期中财务报表,,nan,2018-06-26
3543911,interim period,期中期间,,nan,2018-06-26
3543912,interim review,期中核阅,,nan,2018-06-26
3543913,intermediate or ultimate parent entity,中间或最终母公司,,nan,2018-06-26
3543914,intermediate product,中间性的产品,,nan,2018-06-26
3543915,internal audit,内部稽核,,内部审计,2018-06-26
3543916,internal auditors,内部稽核人员,,nan,2018-06-26
3543917,internal control,内部控制,,内部控制,2018-06-26
3543918,internal control over financial reporting,与财务报导有关之内部控制,,nan,2018-06-26
3543919,internal control questionnaire,内部控制问卷,,nan,2018-06-26
3543920,internal failure costs,内部失败成本,,nan,2018-06-26
3543921,internal growth rate,内部成长率,,内部增长率,2018-06-26
3543922,internal rate of return,内部报酬率,,nan,2018-06-26
3543923,internal rate of return {=IRR},内部报酬率,,内含报酬率,2018-06-26
3543924,internal rate-of-return {=IRR} method,内部报酬率法,,nan,2018-06-26
3543925,internal revenue agents,税务员,,nan,2018-06-26
3543926,internal risk transfer,内部风险移转,,nan,2018-06-26
3543927,International Accounting Standards {=IAS},国际会计准则,,nan,2018-06-26
3543928,International Accounting Standards Board {=IASB},国际会计准则理事会,,国际会计准则理事会,2018-06-26
3543929,International Accounting Standards Committee {=IASC},国际会计准则委员会,,nan,2018-06-26
3543930,International Accounting Standards Committee Foundation,国际会计准则委员会基金会,,nan,2018-06-26
3543931,International Auditing and Assurance Standards Board {=IAASB},国际审计与确信准则理事会,,国际审计与鉴证准则委员会,2018-06-26
3543932,International Federation of Accountants {=IFAC},国际会计团体联合会,,nan,2018-06-26
3543933,International Financial Reporting Interpretations Committee {=IFRIC},国际财务报导解释委员会,,nan,2018-06-26
3543934,International Financial Reporting Standards {=IFRS},国际财务报导准则,,国际财务报告准则,2018-06-26
3543935,International Organization of Supreme Audit Institutions {=INTOSAI},国际最高审计机关组织,,最高审计机关国际组织,2018-06-26
3543936,International Standards for the Professional Practice of Internal Auditing,国际内部稽核执业准则,,nan,2018-06-26
3543937,International Standards on Auditing {=ISAs},国际审计准则,,nan,2018-06-26
3543938,interrogative inquiry,质疑性查询,,nan,2018-06-26
3543939,intervening period,剩余期间,,nan,2018-06-26
3543940,intraday credit facility,当日拆款额度,,nan,2018-06-26
3543941,intragroup monetary item,集团内货币性项目,,nan,2018-06-26
3543942,intragroup transaction,集团内交易,,nan,2018-06-26
3543943,intrinsic value,内含价值,,nan,2018-06-26
3543944,inventoriable costs,存货成本,,nan,2018-06-26
3543945,inventory,存货,,nan,2018-06-26
3543946,inventory and warehousing cycle,存货仓储循环,,nan,2018-06-26
3543947,inventory compilation tests,存货盘点汇总表测试,,nan,2018-06-26
3543948,inventory in transit,在途存货,,在途物资,2018-06-26
3543949,inventory management,存货管理,,nan,2018-06-26
3543950,inventory price tests,存货价格测试,,nan,2018-06-26
3543951,Inverse floating interest rate,反浮动利率,,nan,2018-06-26
3543952,investee,被投资者；被投资公司,,nan,2018-06-26
3543953,investing activities,投资活动,,nan,2018-06-26
3543954,investment,投资,,nan,2018-06-26
3543955,investment center,投资中心,,投资中心,2018-06-26
3543956,investment contract,投资合约,,nan,2018-06-26
3543957,investment entities,投资个体,,nan,2018-06-26
3543958,investment entity,投资个体；投资企业,,nan,2018-06-26
3543959,investment gain,投资收益,,投资收益,2018-06-26
3543960,investment grade,投资等级,,nan,2018-06-26
3543961,investment losses,投资损失,,投资损失,2018-06-26
3543962,investment property,投资性不动产,,投资性房地产,2018-06-26
3543963,investment tax credits,投资抵减,,nan,2018-06-26
3543964,investment-linked insurance funds,投资连结之保险基金,,nan,2018-06-26
3543965,investment-related services,投资相关服务,,nan,2018-06-26
3543966,investments in associates,投资关联企业,,nan,2018-06-26
3543967,investments in associates and jointventures,投资关联企业及合资,,nan,2018-06-26
3543968,investor,投资者；投资公司,,nan,2018-06-26
3543969,investor-owned entity,投资者拥有之个体；投资者拥有之企业,,nan,2018-06-26
3543970,invoice,发票,,nan,2018-06-26
3543971,involuntary liquidation,非自愿性清算,,nan,2018-06-26
3543972,IPO premium,初次公开募集溢价,,首次公开发行溢价,2018-06-26
3543973,irrevocable commitments,不可撤销之承诺,,nan,2018-06-26
3543974,issued capital,发行股本；已发行股本,,nan,2018-06-26
3543975,issued shares,发行股份；已发行股份,,nan,2018-06-26
3543976,IT system,资讯科技系统,,nan,2018-06-26
3543977,job,批次,,nan,2018-06-26
3543978,job costing system,分批成本制,,nan,2018-06-26
