ID,英文詞彙,中文名詞,備註,審定日期,更新日期
21389652,special equipped vehicle,特殊装备车,公路,2025.12.09,2026-06-25
21389653,special speed limit,特定速限,公路,2025.12.09,2026-06-25
21389654,specific gravity of aggregate,粒料比重,公路,2025.12.09,2026-06-25
21389655,speed change lane,变速车道,公路,2025.12.09,2026-06-25
21389656,speedometer,速率表,公路,2025.12.09,2026-06-25
21389657,splice plate,拼续接钣,公路,2025.12.09,2026-06-25
21389658,split-spoon sampler,劈管式取样器,公路,2025.12.09,2026-06-25
21389659,spot speed,定点速率,公路,2025.12.09,2026-06-25
21389660,spot traffic survey,定点交通量调查,公路,2025.12.09,2026-06-25
21389661,spread footing,扩展基脚,公路,2025.12.09,2026-06-25
21389662,standard penetration resistance,标准贯入阻抗值,公路,2026.06.22,2026-06-25
21389663,standard penetration test,标准贯入试验,公路,2025.12.09,2026-06-25
21389664,standard sand,标准砂,公路,2025.12.09,2026-06-25
21389665,standard sieve,标准筛,公路,2025.12.09,2026-06-25
21389666,standing capacity,立位容量,公路,2025.12.09,2026-06-25
21389667,standing space,立位空间,公路,2026.06.22,2026-06-25
21389668,standing vehicle,暂停车辆,公路,2025.12.09,2026-06-25
21389669,station wagon,旅行车,公路,2025.12.09,2026-06-25
21389670,steel pile,钢桩,公路,2025.12.09,2026-06-25
21389671,steel wheel road roller,钢轮压路机,公路,2025.12.09,2026-06-25
21389672,step footing,台阶式基脚,公路,2025.12.09,2026-06-25
21389673,stiffened suspension bridge,加劲吊桥,公路,2025.12.09,2026-06-25
21389674,stiffener,加劲材,公路,2025.12.09,2026-06-25
21389675,stiffness and carry-over factor,劲度及传递系数,公路,2025.12.09,2026-06-25
21389676,stitch rivet,缀合铆钉,公路,2025.12.09,2026-06-25
21389677,stone-filled sheet asphalt,填石片地沥青,公路,2025.12.09,2026-06-25
21389678,stop light,停车灯{交通灯号}；煞车灯,公路,2025.12.09,2026-06-25
21389679,stopping sight distance,停车视距,公路,2025.12.09,2026-06-25
21389680,street car,有轨电车；街车,公路,2025.12.09,2026-06-25
21389681,strike,支承释放；走向{地质},公路,2025.12.09,2026-06-25
21389682,stringer,小梁,公路,2025.12.09,2026-06-25
21389683,structural number,结构指数,公路,2025.12.09,2026-06-25
21389684,structural steel,结构钢,公路,2025.12.09,2026-06-25
21389685,structural timber,结构用木材,公路,2025.12.09,2026-06-25
21389686,strutting,撑架,公路,2025.12.09,2026-06-25
21389687,student commuter,通勤学生,公路,2025.12.09,2026-06-25
21389688,subbase,基层,公路,2025.12.09,2026-06-25
21389689,substructure,下部结构,公路,2025.12.09,2026-06-25
21389690,superelevation rate,超高率｛公路｝,公路,2025.12.09,2026-06-25
21389691,surcharge method,加重法,公路,2025.12.09,2026-06-25
21389692,surface course,面层,公路,2025.12.09,2026-06-25
21389693,surface moisture of aggregate,粒料表面含水量,公路,2025.12.09,2026-06-25
21389694,suspension bridge,吊桥,公路,2025.12.09,2026-06-25
21389695,suspension of license,吊扣执照,公路,2025.12.09,2026-06-25
21389696,suspension period,吊扣期间,公路,2025.12.09,2026-06-25
21389697,sway bracing,抗摇撑{水平位移支撑},公路,2025.12.09,2026-06-25
21389698,swing bridge,旋开桥,公路,2025.12.09,2026-06-25
21389699,synclinal stratum,向斜层,公路,2025.12.09,2026-06-25
21389700,tack coat,黏层{沥青},公路,2025.12.09,2026-06-25
21389701,talus,崖锥,公路,2025.12.09,2026-06-25
21389702,tandem axle load,复轴荷重,公路,2025.12.09,2026-06-25
21389703,taper,叉尖,公路,2025.12.09,2026-06-25
21389704,taper pile,楔形桩,公路,2025.12.09,2026-06-25
21389705,tar,焦油,公路,2025.12.09,2026-06-25
21389706,taxi-cab,计程车；出租汽车,公路,2025.12.09,2026-06-25
21389707,T-beam bridge,T形梁桥,公路,2025.12.09,2026-06-25
21389708,temperature coefficient,温度系数,公路,2025.12.09,2026-06-25
21389709,temporary assembly,试组装；假组装,公路,2025.12.09,2026-06-25
21389710,temporary license plate,临时牌照,公路,2025.12.09,2026-06-25
21389711,temporary passage permit,临时通行证,公路,2025.12.09,2026-06-25
21389712,tendon,钢腱；腱,公路,2025.12.09,2026-06-25
21389713,tension crack of slide slope,滑坡张裂缝,公路,2025.12.09,2026-06-25
21389714,tension flange,抗拉翼缘,公路,2025.12.09,2026-06-25
21389715,tension member,拉力构材；受拉构材；抗拉构材,公路,2025.12.09,2026-06-25
21389716,terminal,终站,公路,2025.12.09,2026-06-25
21389717,terminal bus service,终站巴士接送服务,公路,2025.12.09,2026-06-25
21389718,terrace,露台,公路,2025.12.09,2026-06-25
21389719,test license plate,试车牌照,公路,2025.12.09,2026-06-25
21389720,thermal force,热力,公路,2025.12.09,2026-06-25
21389721,three-leg interchange,三路交流道,公路,2025.12.09,2026-06-25
21389722,through bridge,穿式桥,公路,2025.12.09,2026-06-25
21389723,through bus,直达车,公路,2025.12.09,2026-06-25
21389724,through cut,路堑,公路,2025.12.09,2026-06-25
21389726,tilting tester,倾斜试验器,公路,2025.12.09,2026-06-25
21389727,timber pile,木桩,公路,2025.12.09,2026-06-25
21389728,time-settlement curve,时间-沉陷曲线,公路,2025.12.09,2026-06-25
21389729,token,币式车票；代币,公路,2025.12.09,2026-06-25
21389730,tolerance,公差；允差；容许量,公路,2025.12.09,2026-06-25
21389731,toll road,收费道路,公路,2025.12.09,2026-06-25
21389732,ton-kilometer,延吨公里,公路,2025.12.09,2026-06-25
21389733,ton-kilometer theory,吨公里理论,公路,2025.12.09,2026-06-25
21389734,top chord,上弦杆,公路,2025.12.09,2026-06-25
21389735,top lateral bracing,上横撑,公路,2025.12.09,2026-06-25
21389736,torque,转矩； 扭矩,公路,2025.12.09,2026-06-25
21389737,towed scraper,拖式刮运机,公路,2025.12.09,2026-06-25
21389738,tractor with dozer,推土机,公路,2025.12.09,2026-06-25
21389739,traffic control,交通控制,公路,2025.12.09,2026-06-25
21389740,traffic control device,交通控制设施,公路,2025.12.09,2026-06-25
21389741,traffic control signal,交通控制号志,公路,2025.12.09,2026-06-25
21389742,traffic court,交通法庭,公路,2025.12.09,2026-06-25
21389743,traffic engineering,交通工程,公路,2025.12.09,2026-06-25
21389744,traffic flow,交通流量,公路,2025.12.09,2026-06-25
21389745,traffic growth rate,交通量成长率,公路,2025.12.09,2026-06-25
21389746,traffic island,交通岛,公路,2025.12.09,2026-06-25
21389747,traffic lane,通航巷道{港湾}；交通车道,公路,2025.12.09,2026-06-25
21389748,traffic law,交通法规,公路,2025.12.09,2026-06-25
21389749,traffic light signal,交通灯光号志,公路,2025.12.09,2026-06-25
21389750,traffic marking,交通标线,公路,2025.12.09,2026-06-25
21389751,traffic movement priority,行车优先权,公路,2025.12.09,2026-06-25
21389752,traffic police,交通警察,公路,2025.12.09,2026-06-25
21389753,traffic projection,交通量预测,公路,2025.12.09,2026-06-25
21389754,traffic safety,交通安全,公路,2025.12.09,2026-06-25
21389755,traffic sign,交通标志,公路,2025.12.09,2026-06-25
21389756,traffic violation,交通违规,公路,2025.12.09,2026-06-25
21389757,traffic volume,交通量,公路,2025.12.09,2026-06-25
21389758,transportation utility,运输效用,公路,2025.12.09,2026-06-25
21389759,transverse marking,横向标线；横向画线,公路,2025.12.09,2026-06-25
21389760,tremie concrete,特密管灌筑混凝土,公路,2025.12.09,2026-06-25
21389761,tri-compactor,三用式压路机,公路,2025.12.09,2026-06-25
21389762,trip,旅次,公路,2025.12.09,2026-06-25
21389763,trip-end model,旅次端点分配模式,公路,2025.12.09,2026-06-25
21389764,trip-interchange model,旅次交替分配模式,公路,2025.12.09,2026-06-25
21389765,truck tractor,拖车头,公路,2025.12.09,2026-06-25
21389766,truckload freight,整车货运,公路,2025.12.09,2026-06-25
21389767,truss,桁架,公路,2025.12.09,2026-06-25
21389768,truss bridge,桁架桥,公路,2025.12.09,2026-06-25
21389769,turn over,翻车,公路,2025.12.09,2026-06-25
21389770,turning path,转向路线,公路,2025.12.09,2026-06-25
21389771,turning signal,转弯号志,公路,2025.12.09,2026-06-25
21389772,turning traffic,转向交通量,公路,2025.12.09,2026-06-25
21389773,two-way ramp,双向匝道,公路,2025.12.09,2026-06-25
21389774,two-way road,双向道,公路,2025.12.09,2026-06-25
21389775,ultimate load,极限载重,公路,2025.12.09,2026-06-25
21389776,ultimate strength design,极限强度设计,公路,2025.12.09,2026-06-25
21389777,unchannelized intersection,非槽化交叉口,公路,2025.12.09,2026-06-25
21389778,underground parking lot,地下停车场,公路,2025.12.09,2026-06-25
21389779,underpass,下层通道； 下穿道；地下道,公路,2025.12.09,2026-06-25
21389780,underpinning,基础托底,公路,2025.12.09,2026-06-25
21389781,undisturbed soil,原状土壤；未扰动土壤,公路,2025.12.09,2026-06-25
21389782,undivided highway,无分线公路,公路,2025.12.09,2026-06-25
21389783,unit load transportation,单元装载运输,公路,2025.12.09,2026-06-25
21389784,universal joint,万向接头,公路,2025.12.09,2026-06-25
21389785,unstiffened suspension bridge,无加劲吊桥,公路,2025.12.09,2026-06-25
21389786,unsupported length of pile,桩之无支持长度,公路,2025.12.09,2026-06-25
21389787,uplift,上举力；上顶力；上扬力,公路,2025.12.09,2026-06-25
21389788,urban transportation planning,都市运输规划,公路,2025.12.09,2026-06-25
21389789,U-turn,回车；回转,公路,2025.12.09,2026-06-25
21389790,U-turn lane,回转道,公路,2025.12.09,2026-06-25
21389791,variable slope type,变坡式,公路,2025.12.09,2026-06-25
21389792,vehicle height,车高,公路,2025.12.09,2026-06-25
21389793,vehicle length,车长,公路,2025.12.09,2026-06-25
21389794,vehicle load capacity,载重量,公路,2025.12.09,2026-06-25
21389795,vehicle maintenance system,车辆维修制度,公路,2025.12.09,2026-06-25
21389796,vehicle operating check,行车检查,公路,2025.12.09,2026-06-25
21389797,vehicle utilization rate,车辆使用率,公路,2025.12.09,2026-06-25
21389798,vehicle weight,车重,公路,2025.12.09,2026-06-25
21389799,vehicle width,车宽,公路,2025.12.09,2026-06-25
21389800,vertical,垂材,公路,2025.12.09,2026-06-25
21389801,vertical clearance,净高；垂直净空,公路,2025.12.09,2026-06-25
21389802,viaduct,高架桥,公路,2025.12.09,2026-06-25
21389803,Vicat apparatus,费开氏仪,公路,2025.12.09,2026-06-25
21389804,"visibility requirement for reflector,clearance lamp",汽车灯光能见度规定,公路,2025.12.09,2026-06-25
21389805,"visibility requirement of identification lamp,marker lamp",汽车灯光能见度规定,公路,2025.12.09,2026-06-25
21389806,void ratio,孔隙比；空隙比,公路,2025.12.09,2026-06-25
21389807,wagon drill,台式凿岩机,公路,2025.12.09,2026-06-25
21389808,warning sign,警告标志,公路,2025.12.09,2026-06-25
21389809,water content,含水量,公路,2025.12.09,2026-06-25
21389810,water jetting,水冲；水射法；水刀法,公路,2025.12.09,2026-06-25
21389811,water tanker,水罐车,公路,2025.12.09,2026-06-25
21389812,water-bound macadam base course,水结碎石底层,公路,2025.12.09,2026-06-25
21389813,water-reducing admixture for concrete,混凝土用减水掺料,公路,2025.12.09,2026-06-25
21389814,wearing course,耐磨损层,公路,2025.12.09,2026-06-25
21389816,weaving section,交织路段,公路,2025.12.09,2026-06-25
21389818,web member,腹材,公路,2025.12.09,2026-06-25
21389819,web reinforcement,腹筋,公路,2025.12.09,2026-06-25
21389820,weep hole,泄水孔,公路,2025.12.09,2026-06-25
21389821,well-graded aggregate,良好级配粒料,公路,2025.12.09,2026-06-25
21389822,wheel track,轮距,公路,2025.12.09,2026-06-25
21389823,wheel type tractor,轮式牵引机,公路,2025.12.09,2026-06-25
21389824,wheel type trenching machine,轮式挖沟机,公路,2025.12.09,2026-06-25
21389825,wind load,风力载重,公路,2026.06.22,2026-06-25
21389826,workability of concrete,混凝土工作性,公路,2025.12.09,2026-06-25
21389827,working zone,施工区,公路,2025.12.09,2026-06-25
21389828,zigzag line,锯齿线,公路,2025.12.09,2026-06-25
21389829,zone marking machine,划线机,公路,2025.12.09,2026-06-25
21389830,aerodrome traffic pattern,进离场航线,航运及水运,2025.12.09,2026-06-25
21389831,Aeronautical Information Publication (AIP),飞航指南,航运及水运,2025.12.09,2026-06-25
21389832,aeronautical radio navigation service,航空无线电助航服务,航运及水运,2025.12.09,2026-06-25
21389833,aeronautical route chart,航路图表,航运及水运,2025.12.09,2026-06-25
21389834,aeroplane flight manual,飞机飞航手册,航运及水运,2025.12.09,2026-06-25
21389835,afterbody,艉部,航运及水运,2025.12.09,2026-06-25
21389836,air cargo,空运货物,航运及水运,2025.12.09,2026-06-25
21389837,air carrier,航空运输业,航运及水运,2025.12.09,2026-06-25
21389838,air carrier airport,航空运输机场,航运及水运,2025.12.09,2026-06-25
21389839,air navigation aid,助航设备,航运及水运,2025.12.09,2026-06-25
21389840,aircraft,航空器,航运及水运,2025.12.09,2026-06-25
21389841,airline,航空公司；空中航线,航运及水运,2025.12.09,2026-06-25
21389842,airliner,民航客机,航运及水运,2025.12.09,2026-06-25
21389843,all fours mooring,前后双锚泊,航运及水运,2025.12.09,2026-06-25
21389844,allowable crosswind component,容许侧向风速,航运及水运,2025.12.09,2026-06-25
21389845,alongside delivery,船边交货,航运及水运,2025.12.09,2026-06-25
21389846,amidship,船舯,航运及水运,2025.12.09,2026-06-25
21389847,bower anchor,艏锚,航运及水运,2025.12.09,2026-06-25
21389848,breakwater,防波堤,航运及水运,2025.12.09,2026-06-25
21389849,caisson marine railway,沉箱滑道,航运及水运,2025.12.09,2026-06-25
21389850,car float,车厢驳船,航运及水运,2025.12.09,2026-06-25
21389851,cargo port,货物港埠,航运及水运,2025.12.09,2026-06-25
21389852,cellular concrete block upright breakwater,直立空心混凝土块防波堤,航运及水运,2025.12.09,2026-06-25
21389853,commercial aviation,商用航空,航运及水运,2025.12.09,2026-06-25
21389854,controlled aerodrome,管制机场,航运及水运,2025.12.09,2026-06-25
21389855,control airspace,管制空域,航运及水运,2025.12.09,2026-06-25
21389856,control tower,管制塔台,航运及水运,2025.12.09,2026-06-25
21389857,course separation,航向隔离,航运及水运,2025.12.09,2026-06-25
21389858,crosswind force,侧风力,航运及水运,2025.12.09,2026-06-25
21389859,cruising altitude,巡航高度,航运及水运,2025.12.09,2026-06-25
21389860,cruising speed,巡航速率,航运及水运,2025.12.09,2026-06-25
21389861,datum elevation,基准高度,航运及水运,2025.12.09,2026-06-25
21389862,deadweight tonnage,载重吨位；载重,航运及水运,2025.12.09,2026-06-25
21389863,distance marker,距离标记,航运及水运,2025.12.09,2026-06-25
21389864,economic speed,经济速率,航运及水运,2025.12.09,2026-06-25
21389865,effective landing area,有效降落区域,航运及水运,2025.12.09,2026-06-25
21389866,effective runway gradient,有效跑道纵坡度,航运及水运,2025.12.09,2026-06-25
21389867,enroute surveillance radar,航路搜索雷达,航运及水运,2025.12.09,2026-06-25
21389868,entrance taxiway,入口滑行道,航运及水运,2025.12.09,2026-06-25
21389869,escape hatch,安全舱口；逃生舱口,航运及水运,2025.12.09,2026-06-25
21389870,estuary harbor,河口港,航运及水运,2025.12.09,2026-06-25
21389871,exit taxiway,出口滑行道,航运及水运,2025.12.09,2026-06-25
21389872,export processing zone,加工出口区,航运及水运,2025.12.09,2026-06-25
21389873,export wharf,出口码头,航运及水运,2025.12.09,2026-06-25
21389874,extended safety area,延伸之安全地带,航运及水运,2025.12.09,2026-06-25
21389875,field elevation,机场标高,航运及水运,2025.12.09,2026-06-25
21389876,finger system,指状式系统｛停机坪｝,航运及水运,2026.06.22,2026-06-25
21389877,finger-pier,突堤码头,航运及水运,2025.12.09,2026-06-25
21389878,finger-pier system,指状突出式系统｛停机坪｝,航运及水运,2026.06.22,2026-06-25
21389879,fire alarm signal,火警警报信号,航运及水运,2025.12.09,2026-06-25
21389880,fishery harbor,渔港,航运及水运,2025.12.09,2026-06-25
21389881,fixed distance marker,固定距离标记,航运及水运,2025.12.09,2026-06-25
21389882,flight information region,飞航情报区,航运及水运,2025.12.09,2026-06-25
21389883,flight rule,飞航管制作业,航运及水运,2025.12.09,2026-06-25
21389884,flight time,飞航时间,航运及水运,2025.12.09,2026-06-25
21389885,flight visibility,飞航能见度,航运及水运,2025.12.09,2026-06-25
21389886,flying range,飞行距离；航程,航运及水运,2025.12.09,2026-06-25
21389887,flying speed,飞行速率,航运及水运,2025.12.09,2026-06-25
21389888,free airport,免税机场；自由机场,航运及水运,2026.06.22,2026-06-25
21389889,free port,免税港；自由港,航运及水运,2025.12.09,2026-06-25
21389890,free port zone,免税港区；自由港区,航运及水运,2025.12.09,2026-06-25
21389891,freight tonnage,计费吨位,航运及水运,2025.12.09,2026-06-25
21389892,frontal system,前列式系统｛停机坪｝,航运及水运,2026.06.22,2026-06-25
21389893,fuel harbor,燃料港,航运及水运,2025.12.09,2026-06-25
21389894,fuselage,机身,航运及水运,2025.12.09,2026-06-25
21389895,general aviation airport,普通机场,航运及水运,2025.12.09,2026-06-25
21389896,giving-way vessel,义务船；避让船,航运及水运,2025.12.09,2026-06-25
21389897,glide path station,滑降台,航运及水运,2025.12.09,2026-06-25
21389898,graving dock,干船坞,航运及水运,2026.06.22,2026-06-25
21389899,hangar marker,维护棚厂标记,航运及水运,2025.12.09,2026-06-25
21389900,high-speed taxiway,快速滑行道,航运及水运,2025.12.09,2026-06-25
21389901,holding apron,等待机坪,航运及水运,2025.12.09,2026-06-25
21389902,holding line marker,等候线标记,航运及水运,2025.12.09,2026-06-25
21389903,hopper barge,开底驳船,航运及水运,2025.12.09,2026-06-25
21389904,ice free harbor,不冻港,航运及水运,2025.12.09,2026-06-25
21389905,ice harbor,冻港,航运及水运,2025.12.09,2026-06-25
21389906,industrial harbor,工业港；产业港,航运及水运,2025.12.09,2026-06-25
21389907,inland harbor,内陆港,航运及水运,2025.12.09,2026-06-25
21389908,instrument approach,仪器进场,航运及水运,2025.12.09,2026-06-25
21389909,knot,节；每时浬,航运及水运,2025.12.09,2026-06-25
21389910,landing direction indicator,降落方向指标,航运及水运,2025.12.09,2026-06-25
21389911,landing interval,著陆间隔,航运及水运,2025.12.09,2026-06-25
21389912,landing strip,起落地带{机场},航运及水运,2025.12.09,2026-06-25
21389913,landing strip marker,起降带标记,航运及水运,2025.12.09,2026-06-25
21389914,landmark beacon,地标信标,航运及水运,2025.12.09,2026-06-25
21389915,lateral separation,左右隔离,航运及水运,2025.12.09,2026-06-25
21389916,layout plan,布设计划；配置计划,航运及水运,2025.12.09,2026-06-25
21389917,line traffic,定期航运,航运及水运,2025.12.09,2026-06-25
21389918,loading and unloading apron,装卸机坪,航运及水运,2025.12.09,2026-06-25
21389919,localizer,左右定位台,航运及水运,2025.12.09,2026-06-25
21389920,long distance aid,长程助航设备,航运及水运,2025.12.09,2026-06-25
21389921,long ton,长吨,航运及水运,2025.12.09,2026-06-25
21389922,maintenance hangar,飞机维护棚厂,航运及水运,2025.12.09,2026-06-25
21389923,marshaling yard,货柜汇集场,航运及水运,2025.12.09,2026-06-25
21389924,maximum range,最大航程,航运及水运,2025.12.09,2026-06-25
21389925,mixed cargo,混合货物,航运及水运,2025.12.09,2026-06-25
21389926,national flag,国籍旗,航运及水运,2025.12.09,2026-06-25
21389927,nationality of aircraft,航空器国籍,航运及水运,2025.12.09,2026-06-25
21389928,nautical mile,浬；海里,航运及水运,2025.12.09,2026-06-25
21389929,navigation facility,航行设备,航运及水运,2025.12.09,2026-06-25
21389930,non-precision instrument runway,非精确仪降跑道,航运及水运,2025.12.09,2026-06-25
21389931,obstruction light,障碍标示灯光,航运及水运,2025.12.09,2026-06-25
21389932,open coast,通航海岸,航运及水运,2025.12.09,2026-06-25
21389933,open port,开放港,航运及水运,2025.12.09,2026-06-25
21389934,open transit area,堆货场,航运及水运,2025.12.09,2026-06-25
21389935,open V-type runway,开口V形跑道,航运及水运,2025.12.09,2026-06-25
21389936,overwater flight,越洋飞航,航运及水运,2025.12.09,2026-06-25
21389937,package cargo,包装货,航运及水运,2025.12.09,2026-06-25
21389938,packet boat,定期交通船,航运及水运,2025.12.09,2026-06-25
21389939,particular cargo,特种货物,航运及水运,2025.12.09,2026-06-25
21389940,passenger aircraft,客运航机,航运及水运,2025.12.09,2026-06-25
21389941,passenger liner,定期客船,航运及水运,2025.12.09,2026-06-25
21389942,passenger load factor,载客率；客位利用率,航运及水运,2025.12.09,2026-06-25
21389943,passenger-cargo ship,客货船,航运及水运,2025.12.09,2026-06-25
21389944,pay load,酬载重,航运及水运,2025.12.09,2026-06-25
21389945,pier-satellite system,突出卫星式系统｛停机坪｝,航运及水运,2026.06.22,2026-06-25
21389946,pilot flag,引水旗号,航运及水运,2025.12.09,2026-06-25
21389947,pilotage,引水；引水费｛水运｝；地标航行｛航空｝,航运及水运,2025.12.09,2026-06-25
21389948,port of destination,目的港,航运及水运,2025.12.09,2026-06-25
21389949,precision approach,精确进近,航运及水运,2025.12.09,2026-06-25
21389950,precision instrument runway,精确仪降跑道,航运及水运,2025.12.09,2026-06-25
21389951,preflight inspection,飞行前检查,航运及水运,2025.12.09,2026-06-25
21389952,primary surface of runway,跑道基本面,航运及水运,2025.12.09,2026-06-25
21389953,prohibited area,禁航区,航运及水运,2026.06.22,2026-06-25
21389954,radar beacon,雷达信标,航运及水运,2025.12.09,2026-06-25
21389955,radar control area,雷达控制区域,航运及水运,2025.12.09,2026-06-25
21389956,radio navigation aid,无线电助航设备,航运及水运,2025.12.09,2026-06-25
21389957,railway pier,铁路码头,航运及水运,2025.12.09,2026-06-25
21389958,remote parking system,远端停机系统,航运及水运,2025.12.09,2026-06-25
21389959,river harbor,河港,航运及水运,2025.12.09,2026-06-25
21389960,rules of seamanship,船舶驾驶规则,航运及水运,2025.12.09,2026-06-25
21389961,rules of the road,航道规则,航运及水运,2025.12.09,2026-06-25
21389962,runway,走道板{混凝土浇置用}；跑道{机场}；坡道,航运及水运,2025.12.09,2026-06-25
21389963,runway capacity,跑道容量,航运及水运,2025.12.09,2026-06-25
21389964,runway clear zone,跑道清除区,航运及水运,2025.12.09,2026-06-25
21389965,runway edge light,跑道边灯,航运及水运,2025.12.09,2026-06-25
21389966,runway light,跑道灯,航运及水运,2025.12.09,2026-06-25
21389967,runway numbering system,跑道编号方法,航运及水运,2025.12.09,2026-06-25
21389968,runway orientation,跑道方位,航运及水运,2025.12.09,2026-06-25
21389969,runway system,跑道系统,航运及水运,2025.12.09,2026-06-25
21389970,runway visual range,跑道视程,航运及水运,2025.12.09,2026-06-25
21389971,runway-end identifier light,跑道末端标示灯,航运及水运,2025.12.09,2026-06-25
21389972,sailing direction,航向,航运及水运,2025.12.09,2026-06-25
21389973,satellite system,卫星式系统｛停机坪｝,航运及水运,2026.06.22,2026-06-25
21389974,scheduled airline,定期航线,航运及水运,2025.12.09,2026-06-25
21389975,seaplane,水上飞机,航运及水运,2025.12.09,2026-06-25
21389976,self-unloading vessel,自动卸货船,航运及水运,2025.12.09,2026-06-25
21389977,separation minimum,隔离标准,航运及水运,2025.12.09,2026-06-25
21389978,service apron,修护停机坪,航运及水运,2025.12.09,2026-06-25
21389979,short distance aid,短程助航设备,航运及水运,2025.12.09,2026-06-25
21389980,short ton,短吨,航运及水运,2025.12.09,2026-06-25
21389981,silo,散装筒仓,航运及水运,2025.12.09,2026-06-25
21389982,sludge vessel,运泥船,航运及水运,2025.12.09,2026-06-25
21389983,space allocation,仓位分配,航运及水运,2025.12.09,2026-06-25
21389984,split finger system,分裂指状式系统 ｛停机坪｝,航运及水运,2026.06.22,2026-06-25
21389985,stacked storage system,堆叠储放方式 {货柜},航运及水运,2025.12.09,2026-06-25
21389986,stern breast rope,艉横缆,航运及水运,2025.12.09,2026-06-25
21389987,stopway,停止道；跑道余道,航运及水运,2025.12.09,2026-06-25
21389988,storm-warning signal station,风讯警报台,航运及水运,2025.12.09,2026-06-25
21389989,structural pavement,结构性铺面,航运及水运,2025.12.09,2026-06-25
21389990,takeoff strip,起飞地带,航运及水运,2025.12.09,2026-06-25
21389991,takeoff weight,起飞重量,航运及水运,2025.12.09,2026-06-25
21389992,taxiway,滑行道,航运及水运,2025.12.09,2026-06-25
21389993,taxiway light,滑行道灯,航运及水运,2025.12.09,2026-06-25
21389994,terminal airspace,终站空域,航运及水运,2025.12.09,2026-06-25
21389995,terminal area surveillance radar,终端地区搜索雷达,航运及水运,2025.12.09,2026-06-25
21389996,terminal control area,终站管制区域,航运及水运,2025.12.09,2026-06-25
21389997,threshold light,跑道末端灯,航运及水运,2025.12.09,2026-06-25
21389998,threshold marker,跑道端标记,航运及水运,2025.12.09,2026-06-25
21389999,through transportation,联运,航运及水运,2025.12.09,2026-06-25
21390000,time approach,定时进场,航运及水运,2025.12.09,2026-06-25
21390001,touch-and-go operation,连续起降作业,航运及水运,2025.12.09,2026-06-25
21390002,touchdown zone marker,落地区标记,航运及水运,2025.12.09,2026-06-25
21390003,traffic pattern,航线型态；行车型态{环工},航运及水运,2025.12.09,2026-06-25
21390004,traffic-control projector,航行管制信号灯,航运及水运,2025.12.09,2026-06-25
21390005,train ferry,火车渡船,航运及水运,2025.12.09,2026-06-25
21390006,transit cargo,过路货,航运及水运,2025.12.09,2026-06-25
21390007,transit port,转运港；转口港,航运及水运,2025.12.09,2026-06-25
21390008,transit shed,通栈,航运及水运,2025.12.09,2026-06-25
21390009,transitional surface,渐变面｛机场跑道｝,航运及水运,2025.12.09,2026-06-25
21390010,vertical separation,垂直隔离,航运及水运,2025.12.09,2026-06-25
21390011,VHF omni-directional radio range,超高频多向导航台,航运及水运,2025.12.09,2026-06-25
21390012,visual aid,目视辅助设备,航运及水运,2025.12.09,2026-06-25
21390013,visual contact approach,目视进场,航运及水运,2025.12.09,2026-06-25
21390014,visual-approach slope indicator,目视滑降灯,航运及水运,2025.12.09,2026-06-25
21390015,water transportation,水路运输,航运及水运,2025.12.09,2026-06-25
21390016,wind cone,风标,航运及水运,2025.12.09,2026-06-25
21390017,wind coverage,风频涵盖率,航运及水运,2025.12.09,2026-06-25
21390018,wind rose method,风频图法；风花图法,航运及水运,2025.12.09,2026-06-25
21390019,3-car unit,三车组,捷运,2025.12.09,2026-06-25
21390021,accident prevention,事故预防,捷运,2025.12.09,2026-06-25
21390022,active fault,活动断层,捷运,2025.12.09,2026-06-25
21390023,active tilting train,主动式倾斜列车,捷运,2025.12.09,2026-06-25
21390024,activity code,作业码,捷运,2025.12.09,2026-06-25
21390025,actual point of frog,实际岔尖；岔心实际交点,捷运,2025.12.09,2026-06-25
21390026,all-day service,全日服务｛运输｝,捷运,2026.06.22,2026-06-25
21390027,anchorage assembly,锚定组件,捷运,2025.12.09,2026-06-25
21390028,angle of inclination,倾斜角度,捷运,2025.12.09,2026-06-25
21390029,anti-climber,防爬器,捷运,2025.12.09,2026-06-25
21390030,applied cant,选用超高；实置超高,捷运,2025.12.09,2026-06-25
21390031,arbitration,仲裁,捷运,2025.12.09,2026-06-25
21390032,arbitration agreement,仲裁协议,捷运,2025.12.09,2026-06-25
21390033,arbitration clause,仲裁条款,捷运,2025.12.09,2026-06-25
21390034,articulated bus,连结公车,捷运,2025.12.09,2026-06-25
21390035,A-type right-of-way,A型路权；专用路权,捷运,2025.12.09,2026-06-25
21390036,automated people mover (APM),自动运人系统,捷运,2025.12.09,2026-06-25
21390037,automatic coupler,自动联结器,捷运,2025.12.09,2026-06-25
21390038,automatic fare collection (AFC),自动收费,捷运,2025.12.09,2026-06-25
21390039,automatic route release,进路锁定自动解除,捷运,2025.12.09,2026-06-25
21390040,automatic sprinkle system,自动撒水系统,捷运,2025.12.09,2026-06-25
21390041,automatic train supervision (ATS),自动列车监督,捷运,2025.12.09,2026-06-25
21390042,availability demonstration,可用度展示,捷运,2025.12.09,2026-06-25
21390043,backfill grouting,背填灌浆；回填灌浆,捷运,2025.12.09,2026-06-25
21390044,ballast track,道碴轨道,捷运,2025.12.09,2026-06-25
21390045,ballast work,道碴作业,捷运,2025.12.09,2026-06-25
